Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.42%,129,"$14,188,153",5.67%,-22.84%
$10M or more,73.68%,38,"$255,413,138",2.80%,-13.17%
$1M to $4.9M,84.44%,135,"$199,837,288",2.66%,-56.29%
$500K to $999K,67.19%,64,"$16,830,075",5.21%,-29.47%
$5M to $9.9M,96.97%,33,"$157,801,022",-0.05%,-84.42%
Less than $100K,41.18%,17,"$709,341",41.69%,10.61%
Total,76.92%,416,"$644,779,017",4.34%,-30.36%
