Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",64.63%,82,"$27,620,250",4.64%,-10.81%
Education,75.61%,41,"$61,444,961",5.56%,-15.75%
Environment and animals,76.00%,25,"$15,482,470",2.09%,-38.15%
Health,89.29%,84,"$199,212,507",0.57%,-31.36%
Hospitals,80.00%,20,"$23,275,290",-1.20%,-8.89%
Human services,80.00%,250,"$203,930,939",1.93%,-28.41%
"International, foreign affairs",66.67%,3,"$1,008,270",2.30%,-34.90%
"Public, societal benefit",80.65%,62,"$61,701,505",0.74%,-52.67%
Religion-related,86.67%,15,"$2,317,011",1.79%,-9.96%
Unclassified,84.47%,206,"$303,223,002",2.62%,-27.48%
Universities,71.43%,7,"$4,127,185",-2.49%,-3.02%
Total,80.25%,795,"$903,343,390",2.24%,-24.98%
