Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Michigan,76.12%,"2,119","$4,697,979,203",2.88%,-24.77%
Alcona County,0.00%,2,"$749,152",56.89%,51.78%
Alger County,50.00%,2,"$488,429",1.22%,-9.50%
Allegan County,63.64%,22,"$18,132,126",5.22%,-10.66%
Alpena County,66.67%,21,"$78,873,598",2.48%,-8.73%
Antrim County,66.67%,3,"$1,151,129",-1.31%,-53.58%
Arenac County,100.00%,2,"$3,796,710",-2.41%,-33.61%
Baraga County,75.00%,4,"$1,325,078",6.48%,-35.71%
Barry County,75.00%,8,"$1,545,663",-1.57%,-22.42%
Bay County,58.82%,17,"$15,893,067",10.63%,-8.89%
Benzie County,83.33%,6,"$2,088,132",7.14%,-23.53%
Berrien County,75.76%,33,"$36,246,025",4.74%,-37.43%
Branch County,77.78%,9,"$3,736,135",2.49%,-29.22%
Calhoun County,71.43%,42,"$51,922,831",4.10%,-17.31%
Cass County,40.00%,5,"$7,317,134",20.58%,0.25%
Charlevoix County,84.62%,13,"$4,648,801",-0.05%,-15.90%
Cheboygan County,83.33%,6,"$1,954,570",-7.90%,-23.44%
Chippewa County,70.59%,17,"$32,892,245",6.27%,-48.41%
Clare County,75.00%,4,"$22,811,631",2.45%,-71.03%
Clinton County,87.50%,8,"$10,756,868",0.61%,-47.85%
Crawford County,100.00%,3,"$359,122",-7.06%,-12.44%
Delta County,71.43%,14,"$18,997,272",5.49%,-37.39%
Dickinson County,100.00%,9,"$5,026,356",1.63%,-23.49%
Eaton County,78.57%,28,"$84,066,592",2.80%,-24.09%
Emmet County,66.67%,12,"$6,161,549",9.55%,-5.31%
Genesee County,84.34%,83,"$127,448,724",0.53%,-32.35%
Gladwin County,100.00%,1,"$22,518",-1.80%,-6.47%
Gogebic County,50.00%,8,"$5,711,478",10.92%,-29.11%
Grand Traverse County,67.44%,43,"$73,789,521",2.33%,-22.00%
Gratiot County,85.71%,7,"$3,371,773",-1.42%,-65.77%
Hillsdale County,42.86%,7,"$3,500,571",9.89%,2.04%
Houghton County,72.22%,18,"$15,812,883",4.31%,-41.65%
Huron County,50.00%,6,"$3,403,229",3.82%,-0.79%
Ingham County,84.80%,125,"$544,792,368",1.22%,-34.16%
Ionia County,71.43%,7,"$18,835,726",-1.62%,-42.10%
Iosco County,60.00%,5,"$4,602,740",20.16%,-74.25%
Iron County,100.00%,4,"$2,208,872",-3.11%,-83.34%
Isabella County,66.67%,18,"$7,607,190",4.77%,-13.75%
Jackson County,70.00%,30,"$31,480,137",3.78%,-13.60%
Kalamazoo County,69.15%,94,"$114,411,440",2.26%,-17.76%
Kalkaska County,100.00%,1,"$243,421",14.08%,-46.04%
Kent County,73.33%,165,"$401,249,783",2.45%,-15.18%
Lake County,100.00%,4,"$6,509,194",3.50%,-38.44%
Lapeer County,70.00%,10,"$4,202,734",4.75%,-26.88%
Leelanau County,53.33%,15,"$9,466,879",15.43%,-4.79%
Lenawee County,70.00%,20,"$4,792,810",-2.24%,-13.78%
Livingston County,76.92%,13,"$3,908,109",-0.23%,-16.02%
Luce County,100.00%,1,"$9,600",40.47%,-59.53%
Mackinac County,63.64%,11,"$6,248,046",10.63%,-4.57%
Macomb County,86.41%,103,"$102,120,150",0.01%,-59.63%
Manistee County,100.00%,5,"$1,360,546",10.72%,-52.57%
Marquette County,70.97%,31,"$27,031,918",11.34%,-10.98%
Mason County,66.67%,9,"$6,917,708",0.10%,-28.63%
Mecosta County,55.56%,9,"$863,799",4.90%,-8.66%
Menominee County,50.00%,6,"$812,158",29.59%,3.40%
Midland County,78.12%,32,"$63,358,650",-0.33%,-22.63%
Monroe County,95.24%,21,"$16,339,167",3.77%,-53.82%
Montcalm County,75.00%,8,"$9,514,137",3.50%,-30.04%
Montmorency County,100.00%,2,"$6,971,542",-2.47%,-21.90%
Muskegon County,72.50%,40,"$66,339,571",6.46%,-24.82%
Newaygo County,72.73%,11,"$18,339,105",7.89%,-27.31%
Oakland County,78.65%,192,"$393,462,612",2.14%,-26.22%
Oceana County,75.00%,4,"$1,180,423",6.56%,-5.03%
Ogemaw County,100.00%,4,"$1,453,292",0.36%,-51.32%
Ontonagon County,50.00%,2,"$422,318",34.77%,-29.14%
Osceola County,50.00%,2,"$363,779",-26.03%,-28.13%
Oscoda County,100.00%,1,"$520,899",9.73%,-59.11%
Otsego County,90.91%,11,"$5,432,701",0.77%,-38.84%
Ottawa County,67.86%,56,"$28,758,287",3.62%,-10.44%
Presque Isle County,66.67%,3,"$1,194,102",13.74%,-0.21%
Roscommon County,83.33%,6,"$7,060,730",5.89%,-15.96%
Saginaw County,78.72%,47,"$62,387,285",2.95%,-25.72%
Sanilac County,100.00%,5,"$1,596,758",0.06%,-47.26%
Schoolcraft County,50.00%,2,"$302,462",31.32%,28.57%
Shiawassee County,62.50%,8,"$2,747,047",-0.14%,-17.13%
St. Clair County,77.42%,31,"$18,649,098",2.97%,-48.61%
St. Joseph County,88.89%,9,"$5,051,537",2.05%,-22.82%
Tuscola County,57.14%,7,"$15,371,601",9.17%,-15.24%
Van Buren County,75.00%,8,"$23,989,238",-0.97%,-42.87%
Washtenaw County,73.68%,133,"$893,936,580",5.78%,-16.73%
Wayne County,80.44%,317,"$1,106,669,536",2.06%,-35.94%
Wexford County,62.50%,8,"$2,890,506",12.19%,-25.40%
