Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Ohio,81.18%,"3,246","$18,114,734,073",2.17%,-30.33%
Adams County,66.67%,3,"$1,186,234",-0.05%,-2.68%
Allen County,85.29%,34,"$74,969,140",6.63%,-31.45%
Ashland County,66.67%,12,"$4,967,812",-0.73%,-10.05%
Ashtabula County,78.57%,28,"$25,504,865",1.20%,-30.08%
Athens County,79.41%,34,"$94,889,192",3.69%,-27.53%
Auglaize County,50.00%,12,"$2,504,825",2.19%,-6.26%
Belmont County,77.78%,9,"$10,327,892",2.66%,-7.35%
Brown County,100.00%,3,"$17,780,262",-1.92%,-37.80%
Butler County,81.63%,49,"$49,060,274",4.88%,-24.72%
Carroll County,50.00%,6,"$857,867",17.27%,4.73%
Champaign County,88.89%,9,"$4,848,639",3.41%,-8.93%
Clark County,74.42%,43,"$35,172,186",2.02%,-20.13%
Clermont County,69.23%,13,"$27,184,600",8.27%,-10.03%
Clinton County,87.50%,8,"$5,333,254",0.34%,-24.22%
Columbiana County,75.00%,20,"$33,080,361",7.50%,-40.39%
Coshocton County,100.00%,7,"$13,174,257",3.88%,-70.57%
Crawford County,87.50%,8,"$4,185,187",7.76%,-38.40%
Cuyahoga County,80.68%,414,"$1,300,163,974",1.61%,-27.93%
Darke County,66.67%,18,"$10,033,667",1.78%,-10.90%
Defiance County,72.73%,11,"$17,955,630",0.77%,-39.90%
Delaware County,85.29%,34,"$136,771,316",1.56%,-14.14%
Erie County,80.95%,21,"$21,882,407",4.39%,-11.86%
Fairfield County,80.56%,36,"$28,408,007",-0.08%,-26.88%
Fayette County,80.00%,5,"$9,516,411",1.88%,-86.67%
Franklin County,89.54%,650,"$13,233,715,453",0.17%,-54.95%
Fulton County,76.92%,13,"$5,207,472",0.10%,-10.53%
Gallia County,100.00%,11,"$6,782,101",-5.67%,-26.87%
Geauga County,75.00%,20,"$8,486,959",-0.75%,-13.11%
Greene County,75.00%,36,"$37,965,110",8.18%,-15.12%
Guernsey County,90.00%,10,"$56,374,578",4.22%,-78.14%
Hamilton County,79.34%,271,"$891,377,856",2.40%,-19.37%
Hancock County,75.00%,24,"$30,089,001",9.07%,-20.75%
Hardin County,90.00%,10,"$3,083,323",5.01%,-40.70%
Harrison County,100.00%,2,"$968,899",2.57%,-9.33%
Henry County,100.00%,10,"$7,752,286",-8.63%,-71.17%
Highland County,55.56%,9,"$14,250,848",5.21%,-17.66%
Hocking County,75.00%,8,"$6,310,453",10.69%,-35.59%
Holmes County,62.50%,8,"$2,011,468",4.31%,-5.02%
Huron County,71.43%,14,"$7,828,125",-1.20%,-25.15%
Jackson County,81.82%,11,"$69,835,176",-0.15%,-29.00%
Jefferson County,68.42%,19,"$11,529,236",6.69%,-10.14%
Knox County,66.67%,18,"$12,143,562",20.80%,-16.10%
Lake County,80.00%,35,"$33,562,967",10.26%,-13.56%
Lawrence County,80.00%,5,"$21,116,334",7.69%,-10.47%
Licking County,67.57%,37,"$28,894,597",2.84%,-12.40%
Logan County,69.23%,13,"$8,253,503",4.01%,-25.22%
Lorain County,75.00%,48,"$69,193,048",2.32%,-26.81%
Lucas County,81.69%,142,"$243,674,511",1.29%,-41.10%
Madison County,66.67%,6,"$1,173,682",6.47%,-14.18%
Mahoning County,83.64%,55,"$124,502,659",3.88%,-36.80%
Marion County,89.55%,67,"$50,654,503",4.18%,-50.82%
Medina County,71.43%,21,"$2,859,487",2.92%,-37.03%
Meigs County,60.00%,5,"$965,726",35.90%,-10.32%
Mercer County,80.00%,10,"$4,418,218",16.31%,-19.60%
Miami County,68.00%,25,"$25,286,841",7.78%,-20.19%
Monroe County,50.00%,6,"$167,446",32.18%,-0.93%
Montgomery County,83.06%,124,"$332,745,803",1.97%,-36.31%
Morgan County,100.00%,4,"$8,136,560",0.45%,-41.17%
Morrow County,75.00%,4,"$838,988",12.42%,-6.45%
Muskingum County,70.83%,24,"$30,968,518",12.20%,-13.90%
Noble County,50.00%,4,"$7,869,905",9.79%,-19.37%
Ottawa County,76.00%,25,"$8,984,407",0.17%,-43.33%
Paulding County,100.00%,2,"$199,369",7.01%,-20.29%
