Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.78%,603,"$74,534,271",6.14%,-23.27%
$10M or more,75.57%,221,"$1,876,238,577",1.42%,-12.32%
$1M to $4.9M,81.07%,671,"$552,491,707",2.48%,-26.10%
$500K to $999K,80.50%,400,"$108,723,738",2.26%,-24.70%
$5M to $9.9M,70.67%,150,"$260,832,122",3.73%,-12.58%
Less than $100K,48.48%,66,"$8,500,301",53.86%,4.13%
Total,77.40%,"2,111","$2,881,320,716",3.52%,-21.40%
