Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.37%,333,"$125,459,587",2.60%,-10.84%
Education,81.29%,513,"$809,176,596",4.85%,-26.85%
Environment and animals,72.50%,160,"$106,034,002",4.87%,-16.93%
Health,77.29%,414,"$1,692,141,302",1.08%,-14.31%
Hospitals,62.50%,32,"$183,961,573",1.35%,-2.34%
Human services,75.76%,"1,865","$1,966,158,315",4.21%,-25.79%
"International, foreign affairs",68.42%,19,"$10,087,274",3.75%,-16.32%
Mutual/membership benefit,100.00%,5,"$704,664",-34.30%,-51.59%
"Public, societal benefit",77.99%,368,"$609,004,621",3.30%,-27.53%
Religion-related,74.47%,47,"$48,301,758",2.89%,-17.65%
Unclassified,80.34%,936,"$2,189,431,493",1.99%,-30.46%
Universities,76.67%,60,"$375,408,332",-0.42%,-3.63%
Total,76.70%,"4,752","$8,115,869,517",2.97%,-22.09%
