Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.24%,226,"$75,708,254",5.07%,-16.78%
Education,84.30%,344,"$1,261,045,932",2.29%,-63.97%
Environment and animals,63.54%,96,"$64,546,092",11.06%,-12.67%
Health,80.91%,220,"$282,998,136",4.31%,-26.69%
Hospitals,57.14%,14,"$32,973,792",0.50%,-4.28%
Human services,80.29%,"1,020","$794,307,698",4.52%,-41.39%
"International, foreign affairs",83.33%,12,"$646,710,698",-1.59%,-15.16%
Mutual/membership benefit,100.00%,1,"$311,015",18.22%,-76.36%
"Public, societal benefit",81.72%,186,"$268,188,523",6.70%,-34.21%
Religion-related,76.19%,42,"$82,187,637",4.15%,-20.64%
Unclassified,78.29%,456,"$708,149,822",5.42%,-37.00%
Universities,55.56%,27,"$2,209,413,233",3.53%,-2.43%
Total,78.82%,"2,644","$6,426,540,832",4.43%,-32.90%
