Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.71%,261,"$33,120,469",6.20%,-26.07%
$10M or more,73.87%,111,"$1,010,248,812",4.39%,-9.67%
$1M to $4.9M,78.77%,212,"$169,320,015",4.30%,-22.10%
$500K to $999K,79.69%,128,"$54,696,324",5.59%,-33.91%
$5M to $9.9M,74.19%,62,"$168,841,899",5.76%,-33.41%
Less than $100K,60.00%,50,"$2,713,979",13.78%,-12.74%
Total,75.49%,824,"$1,438,941,498",5.11%,-23.39%
