Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Arkansas,81.76%,729,"$1,088,694,312",1.22%,-33.57%
1st Congressional district,86.44%,177,"$231,088,428",0.81%,-53.69%
2nd Congressional district,79.74%,232,"$546,843,289",2.47%,-32.51%
3rd Congressional district,75.42%,179,"$162,181,801",0.56%,-18.98%
4th Congressional district,87.23%,141,"$148,580,794",-1.21%,-42.68%
