Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.55%,586,"$90,745,232",6.35%,-27.38%
$10M or more,74.35%,308,"$3,384,051,371",0.99%,-12.11%
$1M to $4.9M,77.44%,616,"$599,592,291",2.94%,-29.28%
$500K to $999K,79.94%,359,"$150,818,555",3.34%,-27.58%
$5M to $9.9M,84.08%,157,"$454,175,969",0.18%,-29.39%
Less than $100K,61.29%,93,"$18,595,785",19.93%,-8.39%
Total,76.12%,"2,119","$4,697,979,203",2.88%,-24.77%
