Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.80%,59,"$12,148,409",3.33%,-10.45%
Education,75.86%,58,"$70,128,324",3.59%,-25.94%
Environment and animals,85.37%,41,"$21,842,661",1.55%,-41.41%
Health,88.06%,67,"$134,814,578",4.90%,-33.64%
Hospitals,75.00%,4,"$43,137,617",-6.46%,-42.01%
Human services,76.80%,181,"$200,027,553",4.36%,-37.82%
"International, foreign affairs",50.00%,2,"$316,744",2.87%,-22.63%
Mutual/membership benefit,100.00%,1,"$50,000",-56.56%,-65.14%
"Public, societal benefit",80.65%,62,"$37,671,651",4.26%,-46.30%
Religion-related,83.33%,6,"$1,061,726",5.30%,-6.02%
Unclassified,85.19%,108,"$263,165,845",1.39%,-33.30%
Universities,100.00%,4,"$86,336,963",6.87%,-22.57%
Total,79.76%,593,"$870,702,071",3.61%,-29.95%
