Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.57%,175,"$19,106,786",-0.96%,-31.08%
$10M or more,58.75%,80,"$531,110,319",2.63%,-3.09%
$1M to $4.9M,73.43%,143,"$93,562,070",5.68%,-11.78%
$500K to $999K,81.71%,82,"$24,455,271",2.57%,-33.33%
$5M to $9.9M,67.86%,28,"$45,498,481",4.49%,-4.98%
Less than $100K,50.00%,14,"$498,783",25.14%,3.61%
Total,73.95%,522,"$714,231,710",2.93%,-17.02%
