Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",64.52%,124,"$68,386,948",6.43%,-7.34%
Education,81.25%,176,"$605,574,328",4.03%,-44.43%
Environment and animals,62.50%,56,"$14,772,237",12.32%,-12.77%
Health,72.85%,151,"$296,787,465",5.33%,-31.80%
Hospitals,48.28%,29,"$91,539,313",4.90%,2.97%
Human services,74.73%,566,"$529,512,164",6.44%,-24.63%
"International, foreign affairs",100.00%,7,"$252,355,258",2.75%,-29.49%
"Public, societal benefit",76.97%,178,"$200,057,193",8.57%,-31.06%
Religion-related,65.38%,26,"$17,775,290",4.45%,-20.09%
Unclassified,73.41%,331,"$484,903,588",3.52%,-20.82%
Universities,62.50%,16,"$170,631,925",-3.08%,-4.12%
Total,73.43%,"1,660","$2,732,295,709",5.68%,-22.79%
