Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.34%,499,"$58,720,587",6.73%,-20.00%
$10M or more,65.32%,222,"$1,945,217,588",2.42%,-7.58%
$1M to $4.9M,79.42%,515,"$442,142,005",1.47%,-28.16%
$500K to $999K,81.68%,273,"$76,156,732",1.67%,-27.32%
$5M to $9.9M,76.00%,125,"$289,629,870",0.87%,-17.78%
Less than $100K,57.35%,68,"$5,014,131",21.09%,-6.66%
Total,74.74%,"1,702","$2,816,880,913",3.09%,-20.57%
