Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",69.70%,33,"$16,100,498",5.45%,-7.71%
Education,76.92%,26,"$68,501,162",0.75%,-19.28%
Environment and animals,62.50%,16,"$4,297,524",2.43%,-15.90%
Health,66.67%,27,"$34,017,877",2.61%,-6.88%
Hospitals,47.37%,19,"$45,640,219",4.69%,0.50%
Human services,72.95%,122,"$119,369,694",8.89%,-23.44%
"Public, societal benefit",85.71%,42,"$54,708,951",4.68%,-45.78%
Religion-related,75.00%,4,"$1,387,460",0.94%,-10.69%
Unclassified,67.06%,85,"$220,785,534",4.84%,-15.92%
Universities,75.00%,4,"$3,667,835",-0.52%,-2.15%
Total,70.90%,378,"$568,476,754",5.16%,-16.62%
