Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Rhode Island,77.48%,413,"$625,056,092",1.72%,-23.73%
Bristol County,70.00%,10,"$4,147,475",3.37%,-23.29%
Kent County,77.50%,40,"$51,162,143",-0.59%,-24.83%
Newport County,74.00%,50,"$17,765,550",2.17%,-10.45%
Providence County,80.99%,263,"$533,878,141",1.05%,-31.54%
Washington County,64.00%,50,"$18,102,783",3.57%,-7.94%
