Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
North Carolina,78.82%,"2,644","$6,426,540,832",4.43%,-32.90%
Alamance County,74.42%,43,"$40,096,712",4.51%,-33.31%
Alexander County,71.43%,7,"$1,896,889",7.49%,-90.55%
Alleghany County,77.78%,9,"$1,828,000",2.41%,-15.81%
Anson County,100.00%,5,"$5,446,156",-0.35%,-34.84%
Ashe County,78.57%,14,"$5,700,766",9.12%,-41.96%
Avery County,66.67%,6,"$10,919,434",11.57%,-25.78%
Beaufort County,92.68%,41,"$9,307,046",-12.69%,-75.04%
Bertie County,80.00%,5,"$1,977,365",45.19%,-17.68%
Bladen County,50.00%,6,"$6,457,512",21.14%,-6.99%
Brunswick County,73.08%,26,"$20,584,721",12.49%,-20.56%
Buncombe County,75.83%,120,"$128,705,586",3.33%,-19.34%
Burke County,59.09%,22,"$22,365,881",10.77%,-6.89%
Cabarrus County,80.65%,31,"$41,487,761",8.83%,-30.03%
Caldwell County,71.43%,21,"$8,714,658",8.43%,-17.73%
Carteret County,78.26%,23,"$24,328,548",4.17%,-33.55%
Caswell County,100.00%,8,"$4,595,204",20.70%,-57.95%
Catawba County,77.78%,36,"$17,070,199",2.59%,-25.96%
Chatham County,75.00%,16,"$18,629,381",0.57%,-51.62%
Cherokee County,66.67%,6,"$1,381,845",19.43%,-4.35%
Chowan County,66.67%,6,"$766,356",5.14%,-44.90%
Clay County,85.71%,7,"$1,087,560",6.02%,-27.63%
Cleveland County,82.61%,23,"$24,754,959",8.03%,-37.25%
Columbus County,72.22%,18,"$9,933,074",13.63%,-22.43%
Craven County,94.12%,17,"$8,605,096",3.11%,-46.13%
Cumberland County,80.49%,41,"$103,271,827",5.32%,-37.43%
Currituck County,100.00%,4,"$1,117,139",-2.41%,-60.86%
Dare County,100.00%,12,"$5,116,654",-2.55%,-58.97%
Davidson County,74.29%,35,"$18,674,689",5.22%,-29.44%
Davie County,80.00%,15,"$4,051,813",7.68%,-55.72%
Duplin County,84.62%,13,"$16,519,094",14.60%,-27.50%
