Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.00%,40,"$5,152,642",-0.40%,-8.34%
Education,87.50%,48,"$77,380,440",0.82%,-29.75%
Environment and animals,66.67%,21,"$12,516,191",9.17%,-14.74%
Health,80.56%,36,"$84,364,805",4.20%,-22.79%
Hospitals,66.67%,3,"$702,477",-7.09%,-9.25%
Human services,79.56%,137,"$152,169,431",1.25%,-33.77%
"International, foreign affairs",100.00%,2,"$24,248,514",-2.33%,-38.85%
Mutual/membership benefit,50.00%,2,"$307,750",-1.74%,-21.56%
"Public, societal benefit",76.67%,30,"$40,616,597",1.03%,-40.87%
Religion-related,50.00%,2,"$1,332,139",23.07%,-4.19%
Unclassified,78.02%,91,"$226,062,635",1.29%,-23.81%
Universities,0.00%,1,"$202,471",21.66%,10.68%
Total,77.48%,413,"$625,056,092",1.72%,-23.73%
