Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",85.37%,41,"$38,611,094",3.35%,-20.93%
Education,73.91%,46,"$63,674,168",6.98%,-31.17%
Environment and animals,65.38%,26,"$8,735,904",-0.17%,-14.90%
Health,84.31%,51,"$161,636,156",4.56%,-50.06%
Hospitals,66.67%,9,"$4,115,054",0.61%,-0.94%
Human services,85.29%,136,"$148,242,049",-0.05%,-51.92%
"International, foreign affairs",50.00%,2,"$5,182,738",14.05%,-40.77%
Mutual/membership benefit,100.00%,1,"$108,000",38.18%,-1.09%
"Public, societal benefit",85.19%,54,"$159,057,477",5.50%,-66.50%
Religion-related,90.91%,11,"$8,471,671",-3.38%,-76.35%
Unclassified,75.41%,122,"$207,339,459",2.85%,-34.83%
Universities,80.00%,5,"$3,673,333",-5.73%,-6.11%
Total,80.36%,504,"$808,847,103",2.66%,-39.81%
