Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Florida,81.63%,"3,305","$12,882,197,999",2.14%,-30.99%
Alachua County,77.89%,95,"$136,206,805",3.22%,-40.08%
Baker County,100.00%,7,"$4,112,896",-1.05%,-22.32%
Bay County,90.62%,32,"$84,082,662",1.99%,-33.07%
Bradford County,100.00%,2,"$123,302",17.05%,-27.64%
Brevard County,81.18%,85,"$283,883,244",1.11%,-29.95%
Broward County,89.59%,221,"$1,319,871,819",0.25%,-40.40%
Calhoun County,100.00%,2,"$3,143,654",7.39%,-17.49%
Charlotte County,80.95%,21,"$30,171,551",0.81%,-43.29%
Citrus County,81.25%,16,"$16,189,818",3.16%,-50.05%
Clay County,80.95%,21,"$21,687,844",4.61%,-12.94%
Collier County,62.50%,48,"$149,823,895",5.93%,-10.04%
Columbia County,90.00%,10,"$32,021,998",3.86%,-57.58%
DeSoto County,50.00%,4,"$3,590,534",31.99%,-12.54%
Dixie County,50.00%,2,"$1,278,314",6.58%,-42.79%
Duval County,83.33%,180,"$685,460,092",3.75%,-26.30%
Escambia County,72.41%,58,"$194,882,977",2.44%,-26.51%
Flagler County,69.23%,13,"$17,385,492",0.99%,-30.74%
Franklin County,50.00%,6,"$1,684,902",5.99%,-5.15%
Gadsden County,75.00%,8,"$1,477,073",1.21%,-16.62%
Gulf County,100.00%,4,"$6,796,200",14.89%,-54.22%
Hamilton County,100.00%,2,"$408,894",-8.44%,-74.59%
Hardee County,100.00%,7,"$3,408,983",19.08%,-12.00%
Hendry County,75.00%,4,"$414,883",-2.43%,-26.76%
Hernando County,76.92%,13,"$51,374,692",-0.21%,-29.03%
Highlands County,60.00%,15,"$13,370,990",16.00%,-16.18%
Hillsborough County,85.36%,239,"$1,441,501,599",1.40%,-31.08%
Holmes County,75.00%,4,"$8,464,347",-1.19%,-54.93%
Indian River County,71.43%,42,"$56,161,802",5.00%,-23.95%
Jackson County,100.00%,4,"$33,416,602",4.62%,-93.47%
Jefferson County,100.00%,3,"$1,954,457",-14.12%,-105.41%
Lake County,65.00%,40,"$44,505,107",14.25%,-12.40%
Lee County,76.14%,88,"$243,399,322",6.43%,-13.39%
Leon County,87.31%,134,"$1,096,198,035",1.14%,-45.60%
Levy County,100.00%,7,"$3,617,483",3.70%,-79.93%
Liberty County,100.00%,1,"$558,303",-1.22%,-81.95%
Madison County,100.00%,7,"$7,535,286",-2.35%,-62.26%
Manatee County,73.47%,49,"$105,032,364",4.40%,-22.12%
Marion County,75.00%,32,"$41,482,174",4.59%,-30.90%
Martin County,80.65%,31,"$66,096,929",3.24%,-16.33%
Miami-Dade County,86.51%,482,"$3,031,294,963",2.83%,-41.35%
Monroe County,78.79%,66,"$58,650,960",2.75%,-21.22%
Nassau County,73.68%,19,"$14,242,916",7.55%,-1.47%
Okaloosa County,90.62%,32,"$163,210,199",0.39%,-32.38%
Okeechobee County,71.43%,7,"$2,809,632",5.48%,-10.11%
Orange County,82.94%,211,"$743,018,307",1.14%,-28.18%
Osceola County,83.87%,31,"$160,501,278",1.67%,-55.73%
Palm Beach County,77.23%,224,"$717,203,542",2.15%,-27.57%
Pasco County,87.50%,48,"$128,841,265",-1.26%,-56.69%
Pinellas County,77.39%,199,"$589,336,916",2.27%,-27.96%
Polk County,75.90%,83,"$215,442,870",1.85%,-18.64%
Putnam County,81.82%,11,"$16,529,279",0.00%,-64.77%
Santa Rosa County,100.00%,11,"$17,485,291",8.35%,-75.02%
Sarasota County,73.68%,95,"$196,598,991",4.67%,-16.92%
Seminole County,85.11%,47,"$79,290,017",1.58%,-33.45%
St. Johns County,73.81%,42,"$86,429,266",7.50%,-10.06%
St. Lucie County,88.64%,44,"$151,183,536",-0.98%,-63.59%
Sumter County,83.33%,6,"$85,315,663",-4.53%,-88.05%
Suwannee County,100.00%,2,"$8,167,899",8.36%,-67.69%
Taylor County,100.00%,4,"$5,872,464",-12.13%,-95.10%
Volusia County,80.00%,65,"$176,184,581",2.53%,-32.45%
Wakulla County,100.00%,4,"$2,052,162",1.32%,-25.26%
Walton County,75.00%,12,"$18,504,983",0.02%,-27.35%
Washington County,100.00%,3,"$1,253,695",0.20%,-35.45%
