Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,77.71%,175,"$29,162,251",4.56%,-30.45%
$10M or more,58.76%,97,"$521,425,062",3.95%,-2.59%
$1M to $4.9M,75.00%,144,"$136,983,360",3.52%,-24.58%
$500K to $999K,84.11%,107,"$31,817,518",1.45%,-27.63%
$5M to $9.9M,78.95%,57,"$93,702,167",0.53%,-15.31%
Less than $100K,50.00%,46,"$10,060,044",63.85%,0.61%
Total,73.32%,626,"$823,150,402",3.86%,-20.37%
