Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Missouri,76.09%,"1,535","$2,790,821,028",4.10%,-24.78%
Adair County,81.82%,11,"$17,417,649",10.70%,-18.36%
Andrew County,80.00%,5,"$890,934",28.39%,-9.94%
Atchison County,40.00%,5,"$301,936",14.57%,3.79%
Audrain County,60.00%,5,"$4,478,453",7.85%,-19.21%
Barry County,42.86%,7,"$2,047,357",12.99%,5.57%
Barton County,100.00%,1,"$601,906",1.10%,-65.86%
Bates County,100.00%,3,"$556,348",-9.26%,-82.94%
Benton County,100.00%,2,"$129,613",-1.13%,-34.21%
Bollinger County,0.00%,1,"$142,620",86.47%,79.22%
Boone County,82.46%,57,"$102,087,592",8.19%,-34.89%
Buchanan County,63.64%,33,"$42,267,485",9.63%,-15.54%
Butler County,80.00%,10,"$3,892,354",4.33%,-29.20%
Caldwell County,100.00%,1,"$73,392",-2.06%,-33.86%
Callaway County,100.00%,11,"$2,310,378",0.77%,-59.03%
Camden County,84.62%,13,"$11,479,502",1.78%,-33.61%
Cape Girardeau County,78.26%,23,"$23,383,346",8.23%,-28.21%
Carroll County,80.00%,5,"$1,588,543",-1.37%,-39.93%
Carter County,50.00%,2,"$421,192",17.50%,-28.51%
Cass County,71.43%,7,"$9,830,905",7.57%,-49.17%
Cedar County,100.00%,2,"$500,373",68.49%,-7.97%
Chariton County,100.00%,2,"$454,541",-6.86%,-25.22%
Christian County,87.50%,8,"$2,820,327",1.30%,-62.24%
Clark County,100.00%,1,"$230,698",9.33%,-25.50%
Clay County,75.86%,29,"$14,510,643",3.86%,-39.13%
Clinton County,33.33%,3,"$988,341",15.48%,1.38%
Cole County,87.50%,40,"$165,419,096",5.06%,-49.35%
Cooper County,60.00%,5,"$1,804,032",26.57%,-13.40%
Crawford County,50.00%,2,"$272,628",35.45%,0.41%
Dade County,0.00%,1,"$310,750",32.64%,18.17%
Dallas County,66.67%,3,"$75,255",10.27%,-36.51%
Daviess County,50.00%,2,"$2,154,253",12.45%,-42.09%
DeKalb County,100.00%,2,"$156,856",1.27%,-8.38%
Dent County,66.67%,3,"$527,414",5.60%,-4.45%
Douglas County,75.00%,4,"$4,972,084",8.95%,-37.67%
Dunklin County,100.00%,11,"$101,461,392",10.44%,-44.08%
Franklin County,82.35%,17,"$16,809,697",5.82%,-13.59%
Gasconade County,60.00%,5,"$456,579",-6.59%,-34.35%
Greene County,73.24%,71,"$121,680,809",3.28%,-20.17%
Grundy County,75.00%,4,"$1,502,662",19.39%,-27.12%
Harrison County,100.00%,1,"$98,426",2.01%,-32.44%
Henry County,85.71%,7,"$3,561,457",-35.89%,-44.18%
Hickory County,0.00%,1,"$5,952,143",35.65%,7.83%
Holt County,100.00%,1,"$188,935",11.89%,-75.31%
Howard County,66.67%,3,"$2,017,224",2.46%,-60.84%
Howell County,73.33%,15,"$21,374,635",7.28%,-17.70%
Iron County,50.00%,2,"$578,063",-0.83%,-3.53%
Jackson County,78.85%,260,"$660,775,361",2.19%,-26.33%
Jasper County,77.78%,27,"$22,471,310",3.28%,-39.09%
Jefferson County,60.00%,5,"$22,027,553",0.75%,-10.17%
Johnson County,66.67%,9,"$9,443,555",10.52%,-58.34%
Knox County,100.00%,1,"$5,000",-2.12%,-5.15%
Laclede County,90.00%,10,"$5,120,468",0.84%,-58.00%
Lafayette County,100.00%,7,"$11,931,252",1.98%,-32.14%
Lawrence County,0.00%,1,"$269,309",17.12%,16.38%
Lewis County,50.00%,4,"$1,159,517",13.54%,-0.48%
Lincoln County,50.00%,6,"$2,524,577",12.38%,-5.84%
Linn County,66.67%,3,"$3,280,140",22.61%,-3.33%
Livingston County,71.43%,7,"$1,299,309",7.53%,-13.67%
Macon County,66.67%,3,"$561,877",8.63%,-43.27%
Madison County,0.00%,1,"$213,186",29.62%,3.00%
Maries County,50.00%,2,"$94,201",15.66%,-0.11%
Marion County,60.00%,10,"$13,810,528",1.20%,-3.31%
Mercer County,100.00%,1,"$20,500",3.89%,-2.64%
Miller County,50.00%,2,"$10,009",14.38%,7.26%
Mississippi County,100.00%,6,"$5,309,506",5.80%,-65.25%
Moniteau County,0.00%,1,"$14,021",13.40%,3.79%
Monroe County,50.00%,2,"$810,852",-2.62%,-37.33%
Montgomery County,0.00%,1,"$3,000",11.36%,10.23%
Morgan County,100.00%,5,"$316,751",0.41%,-36.51%
New Madrid County,100.00%,2,"$1,341,439",-21.88%,-84.55%
Newton County,40.00%,10,"$11,400,330",18.43%,2.16%
Nodaway County,85.71%,7,"$10,938,849",-2.72%,-60.47%
Oregon County,100.00%,2,"$464,204",13.05%,-51.03%
Osage County,50.00%,2,"$68,028",13.78%,-4.26%
Pemiscot County,100.00%,3,"$893,670",4.22%,-70.00%
Perry County,87.50%,8,"$2,923,633",5.89%,-47.34%
Pettis County,70.00%,10,"$22,218,147",4.51%,-17.48%
Phelps County,68.75%,16,"$12,895,205",14.37%,-16.98%
Pike County,71.43%,7,"$16,867,168",4.69%,-39.90%
Platte County,66.67%,12,"$16,389,238",4.93%,-16.97%
Polk County,83.33%,6,"$3,053,096",0.59%,-2.35%
Pulaski County,100.00%,8,"$15,487,157",2.18%,-54.67%
Putnam County,0.00%,1,"$75,726",17.88%,5.88%
Ralls County,100.00%,1,"$16,640",-0.61%,-11.14%
Randolph County,84.62%,13,"$8,311,779",16.21%,-45.57%
Ray County,100.00%,3,"$2,171,892",7.58%,-45.10%
Reynolds County,100.00%,5,"$11,976,781",2.20%,-31.39%
Ripley County,100.00%,3,"$1,221,716",3.60%,-49.96%
Saline County,88.89%,9,"$20,253,687",1.94%,-32.38%
Schuyler County,50.00%,2,"$384,150",6.67%,-42.79%
Scott County,90.91%,11,"$44,496,026",6.08%,-44.69%
Shannon County,50.00%,2,"$15,188,345",5.80%,-45.97%
Shelby County,66.67%,6,"$924,105",8.54%,-53.15%
St. Charles County,68.75%,16,"$36,613,436",3.96%,-13.00%
St. Clair County,100.00%,2,"$14,713,199",8.12%,-74.94%
St. Francois County,75.00%,8,"$20,571,002",-2.79%,-49.68%
St. Louis County,71.80%,266,"$480,672,279",1.33%,-12.23%
St. Louis city,79.71%,207,"$525,707,435",3.96%,-36.66%
Ste. Genevieve County,16.67%,6,"$843,663",31.51%,16.27%
Stoddard County,100.00%,1,"$34,174",-9.59%,-16.10%
Stone County,80.00%,5,"$1,704,353",12.45%,-49.23%
Sullivan County,75.00%,4,"$291,326",6.27%,-16.94%
Taney County,81.82%,11,"$11,429,680",3.16%,-21.05%
Texas County,57.14%,7,"$2,930,209",12.85%,-8.27%
Vernon County,100.00%,7,"$3,001,533",-3.21%,-29.23%
Warren County,62.50%,8,"$5,626,655",15.15%,-20.32%
Washington County,100.00%,3,"$5,626,782",-9.94%,-56.30%
Wayne County,100.00%,1,"$244,724",-0.83%,-77.41%
Webster County,77.78%,9,"$3,850,110",21.25%,-8.77%
Wright County,50.00%,4,"$746,857",8.61%,-23.75%
