Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Arkansas,81.76%,729,"$1,088,694,312",1.22%,-33.57%
Arkansas County,100.00%,6,"$1,517,570",-1.38%,-34.08%
Ashley County,75.00%,4,"$598,558",0.27%,-4.42%
Baxter County,69.23%,13,"$6,848,278",0.06%,-14.56%
Benton County,75.61%,41,"$19,165,357",-1.33%,-18.42%
Boone County,100.00%,24,"$22,088,812",-25.29%,-72.32%
Bradley County,100.00%,3,"$4,507,570",-0.91%,-81.81%
Calhoun County,100.00%,1,"$4,206,673",6.32%,-31.78%
Carroll County,75.00%,8,"$519,380",2.93%,-9.22%
Chicot County,100.00%,3,"$11,221,076",-0.48%,-16.34%
Clark County,0.00%,2,"$2,088,483",6.18%,3.57%
Cleburne County,62.50%,8,"$1,885,817",15.54%,-8.15%
Columbia County,100.00%,9,"$5,429,613",-3.32%,-49.63%
Conway County,50.00%,4,"$692,531",7.64%,-4.79%
Craighead County,86.21%,29,"$63,828,026",3.20%,-66.14%
Crawford County,70.59%,17,"$8,616,876",6.67%,-33.70%
Crittenden County,88.89%,9,"$5,754,254",4.15%,-69.87%
Cross County,75.00%,4,"$3,879,964",1.91%,-16.95%
Dallas County,100.00%,1,"$12,127",-55.84%,-87.45%
Desha County,60.00%,5,"$3,768,532",2.86%,-11.12%
Drew County,66.67%,3,"$3,603,382",-6.68%,-15.42%
Faulkner County,65.00%,20,"$17,275,392",5.01%,-8.20%
Franklin County,66.67%,3,"$390,327",18.92%,-76.34%
Fulton County,100.00%,1,"$810,695",-3.58%,-70.98%
Garland County,88.46%,26,"$14,921,540",-0.20%,-29.81%
Grant County,100.00%,2,"$997,065",-3.96%,-77.75%
Greene County,66.67%,9,"$523,467",4.81%,-23.06%
Hempstead County,75.00%,4,"$1,180,352",1.79%,-3.79%
Hot Spring County,100.00%,4,"$495,045",23.01%,-22.81%
Howard County,100.00%,3,"$1,531,941",-0.66%,-15.34%
Independence County,100.00%,15,"$34,135,367",2.01%,-60.08%
Izard County,75.00%,4,"$158,428",-23.18%,-54.25%
Jackson County,66.67%,3,"$364,316",-12.97%,-15.23%
Jefferson County,81.25%,16,"$31,554,281",0.85%,-51.59%
Johnson County,100.00%,6,"$3,751,376",-5.86%,-28.58%
Lawrence County,100.00%,2,"$5,429,580",1.60%,-52.68%
Lee County,50.00%,2,"$2,954,651",38.29%,12.20%
Logan County,80.00%,5,"$887,967",2.63%,-3.98%
Lonoke County,100.00%,6,"$6,035,843",8.59%,-42.23%
Madison County,80.00%,5,"$1,022,941",-5.73%,-79.47%
Marion County,50.00%,2,"$341,395",31.10%,-35.48%
Miller County,100.00%,4,"$4,635,883",-6.35%,-43.87%
Mississippi County,83.33%,6,"$1,196,391",7.10%,-45.10%
Monroe County,100.00%,4,"$4,323,829",-4.05%,-65.62%
Nevada County,100.00%,1,"$175,000",-30.48%,-80.66%
Ouachita County,100.00%,2,"$445,383",-5.61%,-8.68%
Phillips County,100.00%,7,"$8,348,323",-20.24%,-55.12%
Poinsett County,100.00%,2,"$357,182",1.15%,-63.79%
Polk County,100.00%,3,"$7,401,741",-12.76%,-18.41%
Pope County,93.33%,15,"$10,821,732",-5.90%,-63.15%
Pulaski County,83.95%,162,"$493,183,528",1.86%,-46.11%
Randolph County,100.00%,12,"$15,225,783",5.42%,-34.75%
Saline County,78.26%,23,"$40,614,446",13.98%,-29.04%
Scott County,100.00%,2,"$653,107",-5.58%,-98.27%
Searcy County,0.00%,3,"$5,887,052",18.28%,4.47%
Sebastian County,69.05%,42,"$71,534,658",3.03%,-26.05%
Sevier County,50.00%,2,"$165,138",-9.47%,-15.70%
Sharp County,100.00%,1,"$153,094",16.06%,-58.61%
St. Francis County,100.00%,2,"$939,183",8.50%,-74.86%
Stone County,50.00%,2,"$185,775",16.94%,-33.39%
Union County,80.00%,10,"$19,187,543",2.51%,-49.08%
Van Buren County,100.00%,4,"$942,229",-12.11%,-59.22%
Washington County,80.60%,67,"$61,382,589",0.03%,-12.91%
White County,75.00%,16,"$5,048,765",7.04%,-20.18%
Woodruff County,100.00%,1,"$24,811,562",7.81%,-2.67%
Yell County,75.00%,4,"$16,079,548",-4.09%,-44.52%
