Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Illinois,78.29%,"2,639","$7,357,346,988",3.03%,-27.72%
10th Congressional district,75.28%,89,"$176,753,130",6.56%,-15.00%
11th Congressional district,72.97%,111,"$860,305,954",4.59%,-13.56%
12th Congressional district,80.92%,131,"$225,922,542",1.91%,-42.62%
13th Congressional district,81.40%,242,"$459,395,452",2.35%,-36.11%
14th Congressional district,80.43%,92,"$158,808,895",3.98%,-31.27%
15th Congressional district,67.09%,158,"$126,649,653",4.87%,-14.49%
16th Congressional district,68.18%,110,"$70,715,667",4.91%,-16.99%
17th Congressional district,80.86%,256,"$752,296,192",2.60%,-26.56%
1st Congressional district,85.03%,147,"$287,602,750",2.57%,-51.34%
2nd Congressional district,85.00%,140,"$225,791,318",4.17%,-52.67%
3rd Congressional district,84.54%,97,"$271,464,540",2.96%,-33.61%
4th Congressional district,85.71%,91,"$392,408,717",3.71%,-41.68%
5th Congressional district,67.38%,141,"$219,264,090",4.63%,-12.34%
6th Congressional district,60.47%,86,"$212,961,741",6.87%,-10.42%
7th Congressional district,82.21%,506,"$2,549,342,261",1.70%,-33.35%
8th Congressional district,78.26%,92,"$170,097,176",0.88%,-24.21%
9th Congressional district,76.00%,150,"$197,566,910",2.59%,-17.60%
