Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Wisconsin,74.74%,"1,702","$2,816,880,913",3.09%,-20.57%
Adams County,33.33%,3,"$58,102",5.05%,5.00%
Ashland County,71.43%,14,"$18,416,495",0.63%,-42.67%
Barron County,81.82%,11,"$2,301,359",11.71%,-27.46%
Bayfield County,88.89%,9,"$7,541,049",-1.19%,-16.73%
Brown County,73.85%,65,"$91,420,035",1.88%,-16.69%
Burnett County,87.50%,8,"$1,793,842",4.28%,-23.33%
Calumet County,66.67%,3,"$290,327",12.19%,-5.68%
Chippewa County,66.67%,12,"$2,363,062",13.07%,-17.42%
Clark County,33.33%,3,"$131,777",4.23%,0.63%
Columbia County,66.67%,6,"$19,620,340",9.95%,-34.55%
Crawford County,100.00%,5,"$1,643,660",7.07%,-11.20%
Dane County,76.59%,299,"$523,783,485",1.89%,-27.52%
Dodge County,64.29%,14,"$5,012,222",2.43%,-5.90%
Door County,50.00%,26,"$8,336,940",11.53%,-1.35%
Douglas County,89.47%,19,"$10,139,462",-1.03%,-53.50%
Dunn County,75.00%,12,"$20,010,676",1.00%,-45.59%
Eau Claire County,66.67%,33,"$16,712,827",11.67%,-4.74%
Fond du Lac County,76.00%,25,"$359,143,745",0.00%,-13.06%
Forest County,50.00%,2,"$882,563",26.78%,1.12%
Grant County,35.29%,17,"$11,253,848",11.98%,4.02%
Green County,60.00%,10,"$3,291,520",14.91%,-7.48%
Green Lake County,42.86%,7,"$2,567,703",17.03%,2.14%
Iowa County,70.59%,17,"$15,369,513",7.44%,-15.64%
Iron County,100.00%,2,"$279,178",-1.17%,-52.47%
Jackson County,50.00%,4,"$7,392,456",3.10%,-6.33%
Jefferson County,56.25%,16,"$2,466,748",23.52%,-0.97%
Juneau County,80.00%,5,"$346,489",-3.67%,-3.82%
Kenosha County,85.71%,21,"$28,055,282",3.51%,-33.17%
Kewaunee County,33.33%,3,"$39,700",6.09%,5.22%
La Crosse County,74.00%,50,"$37,835,771",1.18%,-26.77%
Lafayette County,60.00%,5,"$465,302",22.54%,-13.23%
Langlade County,60.00%,5,"$1,260,606",7.20%,-46.86%
Lincoln County,75.00%,4,"$422,225",-1.43%,-4.30%
Manitowoc County,82.35%,17,"$5,144,998",-2.53%,-11.68%
Marathon County,68.42%,38,"$19,506,465",5.23%,-18.61%
Marinette County,93.33%,15,"$2,380,381",1.12%,-19.73%
Menominee County,100.00%,3,"$17,722,952",17.81%,-75.46%
Milwaukee County,83.33%,348,"$973,480,713",1.74%,-35.04%
Monroe County,90.91%,11,"$18,735,990",0.97%,-17.98%
Oconto County,70.00%,10,"$21,455,114",7.23%,-25.29%
Oneida County,81.25%,16,"$8,454,500",8.01%,-45.61%
Outagamie County,66.07%,56,"$32,435,932",6.10%,-13.74%
Ozaukee County,68.42%,19,"$21,190,783",6.94%,-19.30%
Pepin County,0.00%,1,"$38,923",9.96%,9.75%
Pierce County,50.00%,6,"$3,527,114",5.98%,1.30%
Polk County,55.56%,9,"$1,524,180",6.42%,-6.38%
Portage County,86.36%,22,"$20,711,870",-1.60%,-30.04%
Price County,0.00%,2,"$108,994",15.26%,13.97%
Racine County,87.18%,39,"$27,805,137",-3.36%,-34.01%
Richland County,80.00%,5,"$1,616,350",-0.39%,-7.55%
Rock County,74.36%,39,"$35,961,586",4.16%,-18.51%
Rusk County,100.00%,2,"$5,922,408",12.91%,-67.42%
Sauk County,50.00%,12,"$2,738,364",3.94%,-0.17%
Sawyer County,69.23%,13,"$31,439,197",2.90%,-24.82%
Shawano County,50.00%,6,"$1,160,227",35.03%,-10.08%
Sheboygan County,70.00%,30,"$25,976,000",1.96%,-13.16%
St. Croix County,55.56%,18,"$16,953,689",5.19%,-5.06%
Taylor County,75.00%,4,"$3,067,510",31.76%,-32.33%
Trempealeau County,75.00%,4,"$17,207,671",5.81%,-10.36%
Vernon County,35.71%,14,"$14,488,928",15.23%,8.83%
Vilas County,37.50%,8,"$16,323,079",26.11%,13.19%
Walworth County,76.47%,17,"$7,108,621",2.67%,-12.59%
Washburn County,88.89%,9,"$1,299,507",1.17%,-34.23%
Washington County,71.43%,21,"$12,684,767",5.03%,-23.22%
Waukesha County,77.78%,72,"$74,894,124",3.54%,-16.04%
Waupaca County,81.82%,11,"$2,291,410",0.56%,-5.83%
Waushara County,83.33%,6,"$6,388,262",-12.87%,-33.44%
Winnebago County,80.49%,41,"$92,626,712",2.86%,-15.94%
Wood County,69.57%,23,"$71,860,146",2.81%,-11.24%
