Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.12%,32,"$4,051,038",4.63%,-15.26%
Education,82.14%,28,"$11,055,220",-0.29%,-13.60%
Environment and animals,60.00%,55,"$25,196,539",8.99%,-12.65%
Health,80.77%,52,"$78,088,246",2.08%,-22.40%
Hospitals,56.52%,23,"$10,176,588",4.22%,-0.78%
Human services,81.65%,158,"$154,873,043",1.67%,-41.27%
"International, foreign affairs",100.00%,1,"$1,789,707",-12.16%,-58.90%
"Public, societal benefit",67.31%,52,"$42,923,150",16.46%,-21.08%
Religion-related,50.00%,4,"$433,584",-5.83%,-7.73%
Unclassified,75.96%,104,"$151,696,141",2.47%,-22.08%
Universities,83.33%,6,"$43,611,240",4.03%,-40.53%
Total,75.15%,515,"$523,894,496",3.36%,-21.76%
