Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
New Mexico,79.76%,593,"$870,702,071",3.61%,-29.95%
Bernalillo County,79.45%,219,"$321,954,291",4.52%,-19.74%
Chaves County,77.78%,9,"$4,307,881",8.55%,-60.65%
Cibola County,100.00%,4,"$23,814,172",3.45%,-50.89%
Colfax County,83.33%,6,"$2,466,521",-1.31%,-67.87%
Curry County,66.67%,9,"$4,357,194",7.97%,-3.73%
De Baca County,100.00%,1,"$3,401,763",23.49%,-49.24%
Doña Ana County,81.08%,37,"$94,923,672",3.81%,-29.91%
Eddy County,81.25%,16,"$16,641,088",-2.33%,-50.56%
Grant County,72.73%,11,"$10,968,447",5.33%,-64.99%
Guadalupe County,0.00%,1,"$767,375",6.63%,0.45%
Lea County,77.78%,18,"$8,300,000",-0.74%,-45.48%
Lincoln County,75.00%,8,"$2,080,733",5.31%,-8.21%
Los Alamos County,66.67%,9,"$2,422,938",9.32%,-10.84%
Luna County,100.00%,10,"$5,192,967",-1.89%,-74.61%
McKinley County,88.24%,17,"$66,439,705",-7.37%,-46.04%
Mora County,50.00%,2,"$2,375,611",17.06%,-14.61%
Otero County,62.50%,8,"$6,386,273",6.06%,-43.00%
Quay County,100.00%,1,"$284,873",25.63%,-72.32%
Rio Arriba County,76.92%,13,"$26,388,968",1.83%,-47.71%
Roosevelt County,100.00%,5,"$8,587,077",-12.23%,-55.03%
San Juan County,84.38%,32,"$55,965,211",0.37%,-67.05%
San Miguel County,100.00%,7,"$1,501,903",9.78%,-20.94%
Sandoval County,88.89%,18,"$11,885,436",5.54%,-31.20%
Santa Fe County,74.75%,99,"$153,672,774",1.85%,-28.67%
Sierra County,100.00%,5,"$5,380,005",3.19%,-74.79%
Socorro County,100.00%,1,"$411,809",14.92%,-82.48%
Taos County,82.35%,17,"$14,554,718",3.24%,-20.27%
Torrance County,0.00%,1,"$236,170",25.18%,0.46%
Union County,50.00%,2,"$151,511",27.99%,19.15%
Valencia County,100.00%,7,"$14,880,985",10.23%,-54.07%
