Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.61%,522,"$61,192,222",3.21%,-31.84%
$10M or more,75.80%,281,"$3,792,225,388",1.92%,-12.07%
$1M to $4.9M,82.76%,557,"$580,316,543",2.50%,-35.31%
$500K to $999K,85.04%,274,"$94,684,410",2.38%,-35.40%
$5M to $9.9M,86.44%,177,"$525,428,053",2.86%,-30.39%
Less than $100K,69.53%,128,"$6,157,359",13.01%,-23.97%
Total,81.23%,"1,939","$5,060,003,975",2.67%,-29.65%
