Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",63.64%,55,"$16,678,980",2.36%,-5.02%
Education,78.75%,80,"$64,138,989",1.89%,-21.18%
Environment and animals,53.85%,65,"$34,680,424",18.74%,-3.19%
Health,84.85%,66,"$96,917,017",7.42%,-22.78%
Hospitals,72.73%,11,"$16,319,875",1.87%,-1.49%
Human services,74.62%,197,"$207,112,675",1.57%,-26.98%
"International, foreign affairs",57.14%,7,"$13,415,923",15.40%,-2.20%
"Public, societal benefit",71.11%,45,"$55,715,864",1.38%,-25.60%
Religion-related,50.00%,4,"$823,056",37.73%,11.85%
Unclassified,75.00%,188,"$444,099,286",1.88%,-15.72%
Universities,60.00%,5,"$20,263,240",2.59%,-2.21%
Total,72.75%,723,"$970,165,329",2.77%,-17.71%
