Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.92%,212,"$23,940,751",7.59%,-19.58%
$10M or more,80.36%,56,"$246,037,426",0.05%,-8.50%
$1M to $4.9M,79.75%,158,"$146,847,345",2.27%,-24.30%
$500K to $999K,74.07%,108,"$32,286,119",5.55%,-24.41%
$5M to $9.9M,78.05%,41,"$107,615,026",1.81%,-27.75%
Less than $100K,64.86%,37,"$3,934,890",34.98%,-13.16%
Total,73.69%,612,"$560,661,557",4.08%,-19.79%
