Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.56%,64,"$34,934,728",7.82%,-20.82%
Education,73.08%,52,"$65,922,347",5.63%,-24.50%
Environment and animals,68.97%,58,"$30,318,405",10.66%,-13.40%
Health,84.09%,44,"$106,136,143",2.45%,-35.90%
Hospitals,25.00%,4,"$3,723,093",11.55%,7.31%
Human services,81.30%,123,"$173,438,288",7.21%,-26.49%
"International, foreign affairs",100.00%,5,"$28,681,144",3.47%,-40.62%
"Public, societal benefit",77.55%,49,"$64,712,269",8.68%,-22.53%
Religion-related,100.00%,4,"$10,511,170",1.38%,-23.14%
Unclassified,86.60%,97,"$242,359,959",2.34%,-29.88%
Universities,100.00%,2,"$10,336,076",1.26%,-11.36%
Total,79.28%,502,"$771,073,622",5.24%,-23.90%
