Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.08%,687,"$75,512,759",0.44%,-34.03%
$10M or more,67.66%,334,"$2,644,349,115",2.19%,-5.41%
$1M to $4.9M,80.00%,610,"$563,538,534",1.77%,-25.58%
$500K to $999K,81.01%,316,"$81,880,543",0.96%,-24.25%
$5M to $9.9M,76.33%,169,"$498,947,997",2.62%,-19.42%
Less than $100K,58.18%,110,"$5,244,446",26.51%,-13.10%
Total,77.27%,"2,226","$3,869,473,394",1.95%,-23.18%
