Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.91%,119,"$60,315,341",7.25%,-11.21%
Education,78.50%,107,"$329,849,308",5.77%,-33.89%
Environment and animals,77.78%,54,"$78,311,045",3.99%,-18.80%
Health,75.68%,148,"$318,811,577",5.79%,-20.21%
Hospitals,56.25%,32,"$131,034,423",1.60%,-3.38%
Human services,79.51%,566,"$865,325,225",3.97%,-36.93%
"International, foreign affairs",100.00%,4,"$2,002,354",-4.74%,-44.39%
"Public, societal benefit",81.02%,137,"$347,539,873",1.33%,-47.74%
Religion-related,79.31%,29,"$5,249,582",4.48%,-16.68%
Unclassified,72.05%,322,"$628,496,012",4.59%,-14.73%
Universities,58.82%,17,"$23,886,288",2.17%,-1.58%
Total,76.09%,"1,535","$2,790,821,028",4.10%,-24.78%
