Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",87.10%,124,"$938,823,437",-2.30%,-37.03%
Education,87.86%,140,"$565,498,218",3.88%,-20.34%
Environment and animals,72.88%,59,"$389,515,599",2.78%,-14.73%
Health,83.87%,62,"$227,744,278",-0.95%,-42.27%
Hospitals,100.00%,2,"$5,915,316",6.91%,-49.57%
Human services,87.12%,264,"$1,513,885,041",0.93%,-47.75%
"International, foreign affairs",83.33%,108,"$3,406,225,816",1.66%,-41.74%
Mutual/membership benefit,33.33%,3,"$1,508,667",8.69%,1.11%
"Public, societal benefit",81.21%,149,"$1,528,699,756",0.00%,-48.01%
Religion-related,63.64%,11,"$38,953,328",3.77%,-7.60%
Unclassified,83.96%,212,"$3,577,196,748",0.00%,-29.95%
Universities,83.33%,6,"$179,912,700",-0.10%,-4.60%
Total,84.21%,"1,140","$12,373,878,904",0.41%,-35.63%
