Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Oklahoma,82.11%,738,"$1,150,619,881",3.57%,-37.94%
Adair County,66.67%,3,"$634,054",54.06%,-35.10%
Alfalfa County,100.00%,1,"$6,821,467",20.03%,-15.72%
Beckham County,100.00%,2,"$205,713",-7.71%,-36.26%
Blaine County,50.00%,2,"$584,583",21.29%,-34.39%
Bryan County,87.50%,8,"$30,508,539",4.35%,-53.16%
Caddo County,100.00%,4,"$5,005,530",-7.93%,-63.33%
Canadian County,75.00%,4,"$2,472,715",31.77%,-29.81%
Carter County,63.16%,19,"$18,039,202",17.92%,-25.25%
Cherokee County,85.00%,20,"$14,657,186",2.28%,-56.10%
Choctaw County,87.50%,8,"$18,210,928",-21.85%,-63.13%
Cleveland County,84.21%,38,"$25,053,318",2.20%,-25.29%
Coal County,100.00%,1,"$31,770",-62.19%,-101.00%
Comanche County,94.12%,17,"$10,143,775",4.37%,-28.61%
Craig County,100.00%,4,"$1,001,586",-9.24%,-89.22%
Creek County,100.00%,5,"$2,209,847",1.72%,-72.10%
Custer County,80.00%,5,"$10,450,600",6.67%,-11.79%
Delaware County,40.00%,5,"$2,255,952",38.23%,16.97%
Dewey County,100.00%,1,"$741,270",0.10%,-99.55%
Ellis County,100.00%,1,"$859,924",-1.85%,-8.37%
Garfield County,93.33%,15,"$10,156,792",-6.50%,-57.14%
Garvin County,100.00%,2,"$9,044,876",-3.20%,-72.12%
Grady County,100.00%,8,"$9,945,432",0.17%,-90.74%
Harmon County,100.00%,1,"$3,084,610",18.65%,-50.40%
Haskell County,100.00%,1,"$29,196,834",1.84%,-75.66%
Hughes County,100.00%,2,"$4,574,483",6.85%,-40.33%
Jackson County,80.00%,5,"$7,104,327",2.34%,-72.29%
Johnston County,66.67%,3,"$4,266,919",2.46%,-21.05%
Kay County,72.73%,11,"$2,956,520",6.92%,-21.32%
Kingfisher County,50.00%,2,"$41,711",-45.18%,-56.57%
Kiowa County,100.00%,2,"$7,267,221",4.74%,-81.60%
Le Flore County,100.00%,6,"$3,540,512",13.44%,-76.63%
Lincoln County,100.00%,1,"$85,089",-15.26%,-71.76%
Logan County,100.00%,4,"$5,799,317",4.87%,-69.44%
Love County,100.00%,2,"$65,031",-13.01%,-38.21%
Major County,100.00%,3,"$1,046,722",3.76%,-19.57%
Marshall County,33.33%,3,"$549,390",8.21%,5.21%
Mayes County,100.00%,8,"$999,215",0.41%,-49.25%
McClain County,100.00%,2,"$2,433,201",0.69%,-96.80%
McCurtain County,100.00%,4,"$10,076,270",10.88%,-20.67%
McIntosh County,100.00%,1,"$1,228,822",21.48%,-48.19%
Muskogee County,85.00%,20,"$10,454,246",-12.70%,-63.17%
Noble County,100.00%,1,"$179,888",-14.96%,-33.88%
Nowata County,100.00%,2,"$631,055",-19.96%,-97.18%
Okfuskee County,100.00%,2,"$220,476",2.05%,-34.31%
Oklahoma County,82.97%,182,"$458,672,710",3.29%,-33.13%
Okmulgee County,100.00%,3,"$4,866,567",59.60%,-7.52%
Osage County,50.00%,6,"$5,508,887",15.98%,-4.05%
Ottawa County,100.00%,7,"$5,279,107",16.97%,-33.06%
Pawnee County,100.00%,4,"$18,903,531",1.75%,-72.08%
Payne County,100.00%,15,"$4,597,507",-1.18%,-37.42%
Pittsburg County,57.14%,7,"$5,160,568",9.55%,-54.61%
Pontotoc County,70.59%,17,"$9,028,576",8.23%,-62.07%
Pottawatomie County,94.74%,19,"$16,891,304",-6.97%,-66.39%
Pushmataha County,100.00%,1,"$3,020,594",8.60%,-35.78%
Rogers County,76.47%,17,"$23,513,629",7.39%,-41.07%
Seminole County,100.00%,5,"$9,370,818",12.63%,-55.49%
Sequoyah County,100.00%,4,"$734,754",31.16%,-47.52%
Stephens County,50.00%,6,"$2,829,924",2.70%,-4.38%
Texas County,100.00%,3,"$3,555,784",-1.98%,-36.95%
Tillman County,100.00%,2,"$10,703,185",1.56%,-59.27%
Tulsa County,74.68%,154,"$261,079,648",5.54%,-23.46%
Wagoner County,50.00%,2,"$2,181,130",0.75%,-13.68%
Washington County,84.21%,19,"$22,949,031",-0.14%,-17.39%
Woods County,50.00%,2,"$446,648",32.24%,-7.46%
Woodward County,100.00%,4,"$6,489,061",-0.02%,-74.57%
