Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Kentucky,75.49%,824,"$1,438,941,498",5.11%,-23.39%
Adair County,0.00%,1,"$635,379",11.00%,10.26%
Allen County,0.00%,2,"$23,125",98.07%,102.01%
Anderson County,100.00%,1,"$1,093,469",58.34%,-30.52%
Barren County,83.33%,6,"$719,405",6.40%,-26.68%
Bath County,0.00%,1,"$11,130",76.89%,73.59%
Bell County,100.00%,2,"$1,518,460",2.11%,-13.94%
Boone County,54.55%,11,"$7,008,524",13.08%,-38.99%
Bourbon County,75.00%,4,"$1,163,079",-9.80%,-21.25%
Boyd County,100.00%,7,"$24,805,910",5.44%,-46.26%
Boyle County,75.00%,8,"$1,155,315",9.65%,-3.96%
Bracken County,100.00%,2,"$338,228",4.10%,-39.30%
Breathitt County,100.00%,2,"$40,964",-88.82%,-139.42%
Breckinridge County,50.00%,2,"$28,317",5.23%,4.65%
Bullitt County,75.00%,4,"$74,940",-31.13%,-32.59%
Butler County,33.33%,3,"$375,090",46.40%,27.40%
Caldwell County,100.00%,2,"$3,966,079",-1.76%,-59.97%
Calloway County,57.14%,7,"$1,265,422",10.91%,-5.82%
Campbell County,76.47%,17,"$28,221,799",8.51%,-23.73%
Carroll County,50.00%,4,"$1,913,126",5.11%,-31.57%
Carter County,100.00%,2,"$15,263,460",6.81%,-46.53%
Christian County,90.00%,10,"$16,269,099",1.47%,-57.92%
Clark County,66.67%,9,"$2,685,392",3.03%,-50.15%
Clay County,66.67%,3,"$11,197,880",0.35%,-36.56%
Clinton County,100.00%,1,"$10,775",-17.37%,-19.97%
Crittenden County,100.00%,1,"$2,746",3.84%,-0.25%
Cumberland County,100.00%,1,"$9,552,744",6.60%,-2.10%
Daviess County,75.00%,24,"$41,380,510",3.46%,-18.81%
Edmonson County,0.00%,1,"$1,165,817",25.77%,5.33%
Fayette County,76.92%,104,"$161,757,799",5.14%,-22.59%
Fleming County,50.00%,2,"$7,882,621",5.88%,-42.64%
Floyd County,77.78%,9,"$15,636,494",14.11%,-79.22%
Franklin County,85.19%,27,"$65,635,219",3.97%,-45.87%
Gallatin County,100.00%,1,"$3,837,648",-2.68%,-40.99%
Grant County,100.00%,2,"$410,365",43.57%,-35.40%
Graves County,60.00%,10,"$13,409,574",32.94%,-8.47%
Grayson County,50.00%,2,"$4,453,933",21.42%,-20.68%
Greenup County,100.00%,2,"$5,236,682",-13.71%,-62.41%
Hardin County,76.92%,13,"$5,632,546",8.48%,-41.62%
Harlan County,85.71%,7,"$2,736,493",17.78%,-36.58%
Harrison County,100.00%,1,"$369,553",18.91%,-8.85%
Hart County,0.00%,1,"$19,265",41.87%,40.20%
Henderson County,66.67%,12,"$6,486,339",-9.69%,-23.82%
Hickman County,100.00%,2,"$31,723",-16.82%,-42.51%
Hopkins County,63.64%,11,"$3,445,104",12.11%,-10.50%
Jefferson County,75.94%,187,"$497,358,021",3.02%,-18.04%
Jessamine County,85.71%,7,"$15,081,402",8.28%,-61.46%
Johnson County,83.33%,6,"$22,021,318",1.62%,-55.32%
Kenton County,75.86%,29,"$38,281,805",6.00%,-15.65%
Knott County,50.00%,2,"$3,326,050",14.03%,-20.15%
Knox County,75.00%,4,"$31,013,360",2.57%,-51.10%
Larue County,0.00%,1,"$11,816",37.49%,32.08%
Laurel County,91.67%,12,"$16,804,773",0.27%,-85.38%
Lawrence County,100.00%,1,"$89,995",-45.08%,-145.08%
