Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
West Virginia,80.40%,750,"$998,063,158",4.39%,-33.50%
Barbour County,66.67%,6,"$3,778,041",6.63%,-22.61%
Berkeley County,79.31%,29,"$20,422,733",6.86%,-27.63%
Boone County,80.00%,5,"$3,653,904",6.56%,-82.38%
Braxton County,80.00%,5,"$20,335,194",3.81%,-37.85%
Brooke County,80.00%,5,"$2,364,510",5.50%,-68.18%
Cabell County,78.57%,42,"$102,932,293",1.34%,-29.51%
Calhoun County,100.00%,4,"$5,961,752",-17.25%,-100.52%
Clay County,100.00%,2,"$774,918",-46.04%,-106.54%
Doddridge County,100.00%,4,"$921,458",-3.19%,-63.53%
Fayette County,71.43%,7,"$4,869,898",9.99%,-47.55%
Gilmer County,100.00%,3,"$1,424,162",2.19%,-70.60%
Grant County,83.33%,6,"$5,078,090",20.21%,-26.53%
Greenbrier County,85.00%,20,"$13,628,187",1.57%,-28.41%
Hampshire County,71.43%,7,"$2,131,926",11.76%,-25.75%
Hancock County,83.33%,12,"$12,538,533",-0.97%,-53.61%
Hardy County,72.73%,11,"$14,114,183",2.45%,-58.52%
Harrison County,89.29%,28,"$32,141,172",4.05%,-26.53%
Jackson County,50.00%,8,"$1,509,403",5.27%,-12.33%
Jefferson County,68.00%,25,"$18,948,204",4.58%,-14.67%
Kanawha County,85.85%,106,"$179,473,192",4.55%,-39.41%
Lewis County,88.89%,9,"$1,587,612",0.41%,-38.12%
Lincoln County,83.33%,6,"$7,398,454",9.10%,-32.94%
Logan County,100.00%,12,"$11,034,930",21.51%,-67.52%
Marion County,80.00%,20,"$27,904,817",3.81%,-11.55%
Marshall County,66.67%,6,"$1,559,015",4.63%,-21.49%
Mason County,71.43%,7,"$1,519,658",11.09%,-40.18%
McDowell County,100.00%,9,"$8,122,049",-12.92%,-81.92%
Mercer County,76.19%,21,"$46,914,199",3.21%,-39.92%
Mineral County,70.00%,10,"$6,063,648",12.56%,-31.10%
Mingo County,85.71%,7,"$20,440,655",11.02%,-22.14%
Monongalia County,68.18%,44,"$192,762,712",7.96%,-21.18%
Monroe County,100.00%,5,"$1,286,159",-9.37%,-81.18%
Morgan County,100.00%,8,"$5,343,119",1.74%,-42.53%
Nicholas County,66.67%,12,"$12,406,081",0.16%,-10.23%
Ohio County,79.49%,39,"$43,751,901",4.34%,-33.63%
Pendleton County,75.00%,12,"$4,392,732",15.83%,-6.51%
Pleasants County,50.00%,2,"$112,611",-3.57%,-30.48%
Pocahontas County,100.00%,4,"$2,949,830",-6.59%,-51.61%
Preston County,84.21%,19,"$7,586,791",0.06%,-29.19%
Putnam County,85.71%,7,"$6,425,769",8.93%,-28.20%
Raleigh County,90.48%,21,"$34,318,308",9.14%,-45.51%
Randolph County,84.21%,19,"$14,320,015",-0.42%,-52.36%
Ritchie County,83.33%,6,"$2,826,891",9.77%,-20.55%
Roane County,66.67%,6,"$3,332,677",-0.21%,-46.83%
Summers County,100.00%,4,"$1,983,299",-15.06%,-92.23%
Taylor County,77.78%,9,"$4,002,685",6.48%,-12.85%
Tucker County,88.89%,9,"$5,788,741",4.09%,-22.32%
Tyler County,75.00%,4,"$2,191,240",-0.73%,-50.81%
Upshur County,71.43%,14,"$15,372,534",4.33%,-40.28%
Wayne County,75.00%,8,"$9,831,168",4.10%,-21.73%
Webster County,100.00%,1,"$111,924",40.73%,-59.03%
Wetzel County,75.00%,8,"$2,206,146",11.01%,-21.45%
Wirt County,100.00%,1,"$461,859",0.12%,-47.64%
Wood County,71.79%,39,"$28,321,184",6.82%,-31.55%
Wyoming County,100.00%,7,"$16,429,992",-1.19%,-70.62%
