Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Florida,81.63%,"3,305","$12,882,197,999",2.14%,-30.99%
10th Congressional district,84.02%,169,"$633,220,181",1.08%,-31.33%
11th Congressional district,72.13%,61,"$152,994,497",3.33%,-12.91%
12th Congressional district,86.11%,72,"$194,362,401",0.36%,-56.94%
13th Congressional district,76.03%,121,"$445,481,218",2.80%,-27.96%
14th Congressional district,81.43%,237,"$1,464,486,628",1.45%,-30.18%
15th Congressional district,89.02%,82,"$108,626,579",1.14%,-29.15%
16th Congressional district,76.92%,65,"$124,223,059",3.17%,-22.12%
17th Congressional district,74.80%,123,"$230,676,900",3.89%,-18.38%
18th Congressional district,73.39%,109,"$331,766,133",4.33%,-18.13%
19th Congressional district,73.21%,112,"$271,464,787",6.08%,-13.94%
1st Congressional district,80.73%,109,"$389,892,217",1.49%,-31.30%
20th Congressional district,81.60%,125,"$764,769,746",1.84%,-40.22%
21st Congressional district,84.68%,111,"$378,433,215",0.49%,-31.41%
22nd Congressional district,78.30%,106,"$396,659,261",2.03%,-28.58%
23rd Congressional district,87.16%,109,"$399,584,301",-0.45%,-32.14%
24th Congressional district,85.82%,141,"$276,813,414",1.27%,-48.68%
25th Congressional district,88.06%,67,"$289,867,907",1.64%,-49.82%
26th Congressional district,76.70%,103,"$577,567,504",4.76%,-23.56%
27th Congressional district,89.20%,213,"$2,067,016,681",3.24%,-38.91%
28th Congressional district,82.41%,108,"$213,810,320",2.71%,-37.23%
2nd Congressional district,87.73%,220,"$1,258,681,075",0.92%,-44.17%
3rd Congressional district,79.74%,153,"$223,030,536",3.22%,-40.08%
4th Congressional district,83.33%,132,"$259,130,182",4.61%,-23.63%
5th Congressional district,78.12%,128,"$548,337,531",5.28%,-17.96%
6th Congressional district,80.43%,92,"$215,129,803",0.98%,-28.95%
7th Congressional district,82.81%,64,"$86,947,139",2.07%,-27.89%
8th Congressional district,77.95%,127,"$340,045,046",1.63%,-25.93%
9th Congressional district,80.43%,46,"$239,179,738",2.59%,-54.42%
