Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",70.91%,55,"$14,812,219",1.24%,-23.38%
Education,78.18%,55,"$51,237,230",1.91%,-18.98%
Environment and animals,69.57%,23,"$16,458,901",1.88%,-25.90%
Health,80.00%,60,"$142,424,029",4.63%,-29.59%
Hospitals,36.36%,22,"$21,778,462",6.59%,2.99%
Human services,75.13%,197,"$198,324,889",3.99%,-21.68%
"International, foreign affairs",100.00%,3,"$1,919,024",2.94%,-15.08%
"Public, societal benefit",69.70%,66,"$139,081,085",10.92%,-26.08%
Religion-related,100.00%,3,"$1,861,319",-20.15%,-44.03%
Unclassified,76.15%,130,"$174,068,179",3.75%,-20.18%
Universities,50.00%,12,"$61,185,065",4.02%,-0.73%
Total,73.32%,626,"$823,150,402",3.86%,-20.37%
