Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.92%,144,"$69,131,805",4.89%,-9.02%
Education,83.54%,158,"$277,910,203",1.97%,-48.81%
Environment and animals,81.02%,137,"$347,032,803",1.52%,-42.68%
Health,79.51%,122,"$361,907,949",4.31%,-23.86%
Hospitals,33.33%,6,"$7,564,245",2.77%,1.46%
Human services,81.11%,503,"$877,588,222",3.54%,-41.47%
"International, foreign affairs",87.50%,8,"$327,094,450",9.00%,-57.04%
"Public, societal benefit",79.34%,121,"$114,353,805",4.61%,-34.42%
Religion-related,64.71%,17,"$9,426,315",8.61%,-3.60%
Unclassified,81.15%,260,"$737,546,399",1.93%,-25.80%
Universities,80.00%,5,"$10,288,889",0.55%,-12.66%
Total,79.95%,"1,481","$3,139,845,085",3.14%,-31.00%
