Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.86%,35,"$1,960,674",-0.64%,-9.48%
Education,74.60%,63,"$44,517,700",4.09%,-17.22%
Environment and animals,56.00%,25,"$3,701,575",6.58%,-0.45%
Health,82.35%,51,"$81,859,922",0.82%,-23.54%
Hospitals,66.67%,3,"$1,560,059",-6.41%,-8.78%
Human services,78.74%,174,"$116,514,506",0.71%,-30.03%
"Public, societal benefit",72.97%,37,"$26,140,154",3.85%,-13.24%
Religion-related,100.00%,2,"$415,625",10.07%,-27.17%
Unclassified,72.80%,125,"$271,039,883",2.90%,-15.06%
Universities,28.57%,7,"$166,521,612",7.62%,4.82%
Total,73.95%,522,"$714,231,710",2.93%,-17.02%
