Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,83.40%,964,"$137,563,139",3.27%,-37.76%
$10M or more,77.61%,460,"$16,066,117,354",1.18%,-10.67%
$1M to $4.9M,81.62%,865,"$1,022,241,568",2.03%,-33.05%
$500K to $999K,84.17%,556,"$166,407,187",0.73%,-38.99%
$5M to $9.9M,80.40%,250,"$712,109,763",1.72%,-31.90%
Less than $100K,65.56%,151,"$10,295,062",16.85%,-16.25%
Total,81.18%,"3,246","$18,114,734,073",2.17%,-30.33%
