Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.21%,61,"$17,485,329",3.25%,-13.53%
Education,80.88%,68,"$34,509,647",4.31%,-32.73%
Environment and animals,65.62%,32,"$29,760,326",9.06%,-12.73%
Health,82.26%,62,"$60,849,155",2.98%,-24.42%
Hospitals,42.86%,7,"$6,803,725",1.56%,0.54%
Human services,67.61%,176,"$115,935,368",8.36%,-18.96%
"International, foreign affairs",100.00%,4,"$8,067,269",-5.80%,-37.73%
"Public, societal benefit",78.26%,46,"$75,332,844",4.64%,-24.98%
Religion-related,100.00%,1,"$767,081",2.06%,-69.04%
Unclassified,76.97%,152,"$181,761,292",1.76%,-21.64%
Universities,100.00%,3,"$29,389,521",-10.11%,-13.41%
Total,73.69%,612,"$560,661,557",4.08%,-19.79%
