Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,77.90%,525,"$77,498,979",6.20%,-31.09%
$10M or more,69.48%,213,"$1,674,836,924",2.31%,-10.27%
$1M to $4.9M,72.52%,444,"$434,434,057",7.00%,-22.59%
$500K to $999K,74.45%,274,"$80,380,565",6.16%,-25.32%
$5M to $9.9M,78.51%,121,"$456,467,322",3.11%,-32.33%
Less than $100K,49.40%,83,"$8,677,862",43.01%,0.16%
Total,73.43%,"1,660","$2,732,295,709",5.68%,-22.79%
