Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.20%,125,"$13,019,009",1.04%,-21.65%
$10M or more,64.29%,56,"$363,695,416",2.41%,-4.84%
$1M to $4.9M,81.13%,106,"$113,608,279",3.05%,-26.71%
$500K to $999K,84.38%,64,"$18,694,477",-1.50%,-52.77%
$5M to $9.9M,87.50%,40,"$115,130,639",1.07%,-31.90%
Less than $100K,45.45%,22,"$908,272",34.01%,1.18%
Total,77.48%,413,"$625,056,092",1.72%,-23.73%
