Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Connecticut,79.67%,"1,269","$3,660,286,648",1.87%,-25.14%
Capitol Planning Region,84.47%,309,"$658,677,410",1.65%,-28.48%
Greater Bridgeport Planning Region,84.38%,96,"$746,328,855",-0.60%,-46.31%
Lower Connecticut River Valley Planning Region,69.12%,68,"$83,696,321",3.56%,-15.93%
Naugatuck Valley Planning Region,87.38%,103,"$175,363,712",2.76%,-31.01%
Northeastern Connecticut Planning Region,90.48%,21,"$73,787,077",1.56%,-52.03%
Northwest Hills Planning Region,63.54%,96,"$70,350,375",5.12%,-13.22%
South Central Connecticut Planning Region,82.22%,225,"$1,417,724,247",1.90%,-29.27%
Southeastern Connecticut Planning Region,77.97%,118,"$218,828,293",4.26%,-21.91%
Western Connecticut Planning Region,75.11%,233,"$215,530,358",0.88%,-20.37%
