Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,83.97%,237,"$31,271,581",2.92%,-45.11%
$10M or more,72.86%,70,"$621,493,488",3.11%,-13.89%
$1M to $4.9M,80.37%,219,"$256,802,273",2.41%,-35.05%
$500K to $999K,88.70%,115,"$54,949,992",5.65%,-40.93%
$5M to $9.9M,89.29%,56,"$183,005,379",3.71%,-38.55%
Less than $100K,68.29%,41,"$3,097,168",29.79%,-23.67%
Total,82.11%,738,"$1,150,619,881",3.57%,-37.94%
