Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Tennessee,77.76%,"1,731","$3,337,052,539",3.96%,-29.39%
Anderson County,78.95%,19,"$15,930,164",8.88%,-34.31%
Bedford County,100.00%,4,"$6,654,746",0.95%,-65.61%
Benton County,100.00%,2,"$2,697,213",1.61%,-80.20%
Blount County,89.47%,19,"$14,125,765",-0.10%,-20.89%
Bradley County,84.62%,26,"$53,625,747",4.87%,-37.67%
Campbell County,85.71%,7,"$8,357,880",10.15%,-37.64%
Cannon County,100.00%,1,"$256,516",21.45%,-20.87%
Carroll County,66.67%,3,"$1,184,568",-15.06%,-15.99%
Carter County,44.44%,9,"$3,642,517",22.28%,3.79%
Cheatham County,100.00%,6,"$1,800,511",4.20%,-8.83%
Chester County,75.00%,4,"$991,478",19.57%,-18.63%
Claiborne County,42.86%,7,"$4,818,879",20.55%,11.61%
Cocke County,50.00%,4,"$3,587,464",31.17%,-14.98%
Coffee County,71.43%,14,"$2,165,915",6.26%,-35.17%
Crockett County,100.00%,1,"$90,507",-7.28%,-39.58%
Cumberland County,57.89%,19,"$15,405,132",5.11%,-8.04%
Davidson County,75.08%,321,"$1,463,637,992",5.50%,-24.87%
DeKalb County,66.67%,3,"$448,750",-1.93%,-40.03%
Decatur County,100.00%,3,"$14,466,571",45.75%,-51.39%
Dickson County,83.33%,6,"$4,957,136",8.43%,-19.53%
Dyer County,91.67%,12,"$8,685,851",-0.45%,-82.56%
Fayette County,100.00%,3,"$523,359",4.91%,-22.94%
Franklin County,55.56%,9,"$4,070,587",2.99%,-17.90%
Gibson County,66.67%,3,"$67,549",-1.64%,-11.24%
Giles County,75.00%,4,"$149,333",-22.97%,-67.24%
Grainger County,100.00%,1,"$1,790,946",16.92%,-35.31%
Greene County,75.00%,12,"$3,339,544",22.09%,-17.53%
Grundy County,0.00%,3,"$421,000",9.72%,4.06%
Hamblen County,92.86%,56,"$52,932,642",-14.45%,-48.58%
Hamilton County,76.61%,124,"$211,173,176",5.33%,-25.46%
Hancock County,100.00%,1,"$28,605",23.79%,-10.70%
Hardeman County,100.00%,3,"$6,105,260",14.28%,-38.19%
Hardin County,75.00%,4,"$3,278,108",10.61%,-7.63%
Hawkins County,100.00%,5,"$6,281,584",7.22%,-6.73%
Haywood County,100.00%,2,"$201,161",-7.15%,-100.05%
Henderson County,66.67%,3,"$63,752",17.14%,-32.23%
Henry County,70.00%,10,"$9,177,136",11.05%,-35.57%
Hickman County,100.00%,5,"$1,343,264",11.32%,-59.39%
Houston County,75.00%,4,"$6,857,913",2.88%,-72.31%
Humphreys County,100.00%,2,"$2,100,035",0.92%,-43.04%
Jackson County,100.00%,2,"$131,464",28.76%,-27.65%
Jefferson County,50.00%,6,"$3,489,624",9.51%,-14.76%
Johnson County,66.67%,3,"$298,585",28.31%,-2.65%
Knox County,80.15%,136,"$234,306,242",2.41%,-28.08%
