Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Mississippi,80.36%,504,"$808,847,103",2.66%,-39.81%
Adams County,100.00%,7,"$15,539,035",5.12%,-41.47%
Alcorn County,100.00%,5,"$1,480,381",5.74%,-51.95%
Amite County,100.00%,1,"$3,133,413",21.19%,-24.36%
Attala County,100.00%,2,"$2,140,129",-3.82%,-59.51%
Bolivar County,75.00%,8,"$30,371,456",0.95%,-18.12%
Chickasaw County,100.00%,1,"$624,429",22.58%,-68.22%
Clarke County,100.00%,1,"$4,225,346",22.32%,-64.95%
Clay County,100.00%,3,"$1,522,851",-4.72%,-50.30%
Coahoma County,100.00%,9,"$19,068,842",-3.48%,-98.88%
Copiah County,25.00%,4,"$4,814,468",16.76%,10.47%
DeSoto County,71.43%,7,"$1,180,365",11.25%,-46.24%
Forrest County,86.67%,15,"$21,038,435",1.53%,-59.46%
George County,100.00%,1,"$1,690,968",-1.98%,-101.61%
Hancock County,71.43%,7,"$2,775,858",-0.37%,-30.34%
Harrison County,96.55%,29,"$69,102,654",-3.83%,-54.57%
Hinds County,83.49%,109,"$154,122,026",1.16%,-48.51%
Holmes County,100.00%,1,"$1,227,882",-6.88%,-102.48%
Humphreys County,0.00%,1,"$9,750",37.11%,35.74%
Itawamba County,75.00%,4,"$2,812,812",45.65%,-10.97%
Jackson County,80.00%,15,"$18,112,928",-0.84%,-39.85%
Jasper County,100.00%,1,"$155,500",7.67%,-1.66%
Jefferson County,100.00%,2,"$7,037,888",0.60%,-57.22%
Jones County,75.00%,8,"$8,779,151",18.25%,-11.99%
Kemper County,100.00%,1,"$308,593",17.05%,-57.23%
Lafayette County,50.00%,12,"$18,555,310",14.83%,-2.96%
Lamar County,100.00%,2,"$1,037,002",10.70%,-30.89%
Lauderdale County,66.67%,21,"$15,514,497",0.23%,-9.79%
Leake County,100.00%,2,"$3,629,078",-0.28%,-17.56%
Lee County,68.00%,25,"$36,893,551",8.47%,-4.64%
Leflore County,77.78%,9,"$2,208,670",12.72%,-23.86%
Lincoln County,50.00%,2,"$3,300,398",-3.09%,-13.12%
Lowndes County,69.23%,13,"$3,552,786",20.58%,-10.73%
Madison County,75.00%,28,"$44,068,086",-0.23%,-45.59%
Marion County,100.00%,1,"$41,843",-34.01%,-45.45%
Marshall County,100.00%,5,"$49,711,310",3.91%,-31.94%
Monroe County,75.00%,4,"$4,095,055",9.76%,-40.41%
Montgomery County,100.00%,2,"$10,286,436",3.37%,-89.38%
Neshoba County,75.00%,4,"$10,465,106",30.26%,-7.58%
Newton County,50.00%,2,"$7,778,584",44.75%,-42.55%
Noxubee County,100.00%,1,"$1,231,863",1.08%,-78.65%
Oktibbeha County,88.89%,9,"$19,589,196",-0.53%,-62.67%
Panola County,50.00%,4,"$8,111,543",11.15%,-35.93%
Pearl River County,100.00%,3,"$463,524",-6.30%,-26.87%
Perry County,100.00%,1,"$11,925,569",8.81%,-76.74%
Pike County,100.00%,6,"$7,133,291",13.34%,-63.73%
Pontotoc County,100.00%,1,"$23,576,778",8.70%,-69.14%
Prentiss County,100.00%,5,"$15,209,168",5.54%,-79.82%
Quitman County,100.00%,2,"$658,282",7.47%,-62.76%
Rankin County,83.33%,24,"$34,360,934",3.48%,-73.94%
Scott County,0.00%,1,"$5,250",5.19%,4.00%
Sharkey County,66.67%,3,"$1,852,685",17.31%,-54.48%
Simpson County,100.00%,3,"$11,482,031",-3.37%,-12.23%
Smith County,100.00%,1,"$25,000",7.31%,-5.46%
Stone County,100.00%,2,"$110,131",-3.64%,-67.56%
Sunflower County,77.78%,9,"$9,865,025",-4.08%,-53.46%
Tallahatchie County,100.00%,3,"$4,478,565",-4.86%,-71.79%
Tate County,100.00%,1,"$310,094",0.00%,-77.60%
Tippah County,100.00%,2,"$424,648",-7.21%,-9.64%
Tunica County,0.00%,1,"$229,371",32.61%,4.25%
Union County,80.00%,5,"$1,690,802",25.73%,-22.11%
Warren County,75.00%,12,"$1,649,067",-0.42%,-34.04%
Washington County,66.67%,18,"$68,134,056",4.70%,-24.10%
Wayne County,100.00%,1,"$91,986",10.96%,-89.04%
Wilkinson County,100.00%,1,"$3,195",-10.54%,-10.70%
Winston County,100.00%,2,"$1,401,208",-18.69%,-70.58%
Yazoo County,77.78%,9,"$2,420,969",2.99%,-49.29%
