Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.32%,95,"$8,419,569",4.58%,-10.60%
Education,68.12%,69,"$30,944,591",6.28%,-7.66%
Environment and animals,68.29%,41,"$24,946,787",4.65%,-13.28%
Health,76.60%,94,"$82,536,736",0.31%,-17.08%
Hospitals,21.43%,14,"$18,147,862",6.65%,5.02%
Human services,72.42%,388,"$199,285,928",2.93%,-13.10%
"International, foreign affairs",100.00%,2,"$724,677",-10.84%,-74.86%
"Public, societal benefit",68.63%,102,"$163,686,914",6.45%,-19.18%
Religion-related,70.59%,17,"$20,817,681",6.26%,-26.82%
Unclassified,73.90%,249,"$389,382,997",1.65%,-14.79%
Universities,55.56%,27,"$59,407,428",2.03%,-1.09%
Total,70.77%,"1,098","$998,301,170",3.08%,-12.44%
