Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,71.90%,121,"$19,041,055",6.54%,-22.06%
$10M or more,44.68%,47,"$127,509,860",5.90%,2.05%
$1M to $4.9M,73.68%,95,"$80,602,466",2.66%,-19.27%
$500K to $999K,70.37%,54,"$16,828,682",5.54%,-22.05%
$5M to $9.9M,54.55%,22,"$32,330,884",9.24%,-1.79%
Less than $100K,16.67%,18,"$1,272,919",60.57%,25.34%
Total,64.71%,357,"$277,585,866",5.69%,-10.94%
