Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",36.84%,38,"$1,884,008",12.15%,4.55%
Education,91.11%,90,"$330,189,090",5.87%,-82.38%
Environment and animals,74.19%,31,"$14,781,543",-1.48%,-33.12%
Health,80.65%,31,"$28,900,978",8.03%,-24.70%
Hospitals,57.14%,7,"$8,787,960",0.00%,-0.27%
Human services,74.07%,108,"$67,921,749",6.17%,-23.42%
"International, foreign affairs",50.00%,4,"$8,817,443",2.79%,-15.23%
"Public, societal benefit",96.00%,25,"$12,608,064",-0.99%,-37.61%
Religion-related,60.00%,5,"$228,512",5.03%,-13.93%
Unclassified,83.78%,74,"$150,482,849",0.63%,-31.69%
Universities,33.33%,3,"$20,176,821",4.33%,3.61%
Total,76.92%,416,"$644,779,017",4.34%,-30.36%
