Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.92%,506,"$65,803,652",6.63%,-18.30%
$10M or more,75.54%,413,"$10,982,427,237",1.78%,-10.50%
$1M to $4.9M,73.14%,685,"$553,512,876",5.64%,-15.83%
$500K to $999K,78.92%,370,"$90,251,609",3.03%,-22.78%
$5M to $9.9M,76.16%,172,"$329,767,362",2.54%,-12.22%
Less than $100K,51.72%,87,"$5,872,910",26.10%,-0.09%
Total,73.89%,"2,233","$12,027,635,646",4.06%,-15.56%
