Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.39%,329,"$135,361,412",6.07%,-12.71%
Education,76.26%,219,"$662,424,373",5.32%,-25.86%
Environment and animals,60.29%,68,"$113,741,443",11.40%,-5.25%
Health,77.63%,219,"$630,302,971",4.34%,-29.40%
Hospitals,58.62%,29,"$73,453,508",0.76%,-4.00%
Human services,83.01%,877,"$2,162,528,654",2.21%,-42.14%
"International, foreign affairs",68.75%,16,"$63,759,192",4.22%,-27.39%
"Public, societal benefit",84.12%,233,"$1,397,558,521",3.69%,-38.27%
Religion-related,84.78%,46,"$58,670,878",4.40%,-23.56%
Unclassified,78.55%,564,"$1,837,398,562",2.36%,-27.94%
Universities,74.36%,39,"$222,147,474",-1.29%,-6.00%
Total,78.29%,"2,639","$7,357,346,988",3.03%,-27.72%
