Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.05%,167,"$18,375,292",5.37%,-21.36%
$10M or more,64.29%,56,"$218,417,052",3.77%,-7.79%
$1M to $4.9M,77.27%,154,"$143,855,248",2.04%,-30.52%
$500K to $999K,83.33%,72,"$20,657,338",0.06%,-33.48%
$5M to $9.9M,75.51%,49,"$121,806,329",2.74%,-17.45%
Less than $100K,47.06%,17,"$783,237",17.82%,0.07%
Total,75.15%,515,"$523,894,496",3.36%,-21.76%
