Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.81%,138,"$20,980,825",7.40%,-22.19%
$10M or more,75.47%,53,"$445,194,612",4.35%,-14.32%
$1M to $4.9M,84.83%,145,"$150,880,234",5.27%,-22.72%
$500K to $999K,83.33%,108,"$36,930,122",2.97%,-31.85%
$5M to $9.9M,81.25%,32,"$106,924,924",3.22%,-37.76%
Less than $100K,50.00%,26,"$10,162,905",63.30%,-0.03%
Total,79.28%,502,"$771,073,622",5.24%,-23.90%
