Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Missouri,76.09%,"1,535","$2,790,821,028",4.10%,-24.78%
1st Congressional district,75.78%,384,"$857,719,800",2.45%,-23.56%
2nd Congressional district,74.34%,113,"$171,058,766",2.86%,-13.33%
3rd Congressional district,78.07%,114,"$263,728,146",4.39%,-27.70%
4th Congressional district,83.33%,162,"$214,592,254",2.23%,-32.99%
5th Congressional district,78.75%,273,"$667,415,038",2.23%,-26.41%
6th Congressional district,69.84%,189,"$160,107,243",7.53%,-20.56%
7th Congressional district,71.63%,141,"$175,981,699",5.37%,-20.47%
8th Congressional district,76.10%,159,"$280,218,082",7.05%,-31.39%
