Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.53%,274,"$123,183,314",3.74%,-13.60%
Education,82.37%,312,"$652,469,395",3.24%,-52.73%
Environment and animals,65.74%,108,"$355,074,529",8.14%,-9.23%
Health,83.57%,280,"$753,636,622",1.75%,-28.44%
Hospitals,75.86%,29,"$380,108,158",1.97%,-3.17%
Human services,83.16%,"1,152","$1,634,767,789",2.36%,-39.13%
"International, foreign affairs",90.00%,10,"$1,917,337",-7.01%,-38.58%
Mutual/membership benefit,100.00%,1,"$2,005,000",-31.50%,-123.65%
"Public, societal benefit",84.16%,303,"$12,394,947,429",1.94%,-43.19%
Religion-related,89.02%,82,"$56,675,472",-1.67%,-37.41%
Unclassified,80.96%,667,"$1,705,129,643",1.66%,-30.31%
Universities,67.86%,28,"$54,819,385",-1.57%,-3.19%
Total,81.18%,"3,246","$18,114,734,073",2.17%,-30.33%
