Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.48%,424,"$75,328,829",3.67%,-29.64%
$10M or more,79.01%,162,"$2,035,382,557",2.15%,-19.25%
$1M to $4.9M,81.74%,460,"$558,792,522",2.52%,-40.01%
$500K to $999K,82.50%,280,"$93,376,930",2.10%,-33.16%
$5M to $9.9M,90.20%,102,"$369,293,224",2.68%,-44.17%
Less than $100K,37.74%,53,"$7,671,023",47.58%,5.27%
Total,79.95%,"1,481","$3,139,845,085",3.14%,-31.00%
