Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Minnesota,77.27%,"2,226","$3,869,473,394",1.95%,-23.18%
Aitkin County,75.00%,8,"$577,568",10.08%,-12.66%
Anoka County,87.23%,47,"$82,512,732",1.43%,-16.12%
Becker County,68.75%,16,"$36,076,077",3.27%,-34.08%
Beltrami County,81.58%,38,"$58,754,226",6.21%,-46.84%
Benton County,87.50%,8,"$10,098,026",6.39%,-20.44%
Big Stone County,100.00%,2,"$115,000",16.00%,-59.18%
Blue Earth County,81.82%,33,"$52,565,278",0.71%,-24.47%
Brown County,76.92%,13,"$1,273,042",0.56%,-6.44%
Carlton County,83.33%,6,"$1,392,944",-3.30%,-11.56%
Carver County,82.35%,17,"$21,300,278",2.20%,-10.17%
Cass County,76.47%,17,"$7,131,292",8.66%,-23.86%
Chippewa County,85.71%,7,"$11,440,568",5.85%,-32.97%
Chisago County,66.67%,15,"$7,197,468",2.90%,-11.10%
Clay County,69.23%,13,"$32,169,999",1.44%,-28.22%
Clearwater County,66.67%,3,"$205,909",3.93%,-9.24%
Cook County,92.31%,13,"$7,072,572",1.76%,-39.61%
Cottonwood County,100.00%,1,"$45,500",-25.71%,-71.82%
Crow Wing County,84.62%,26,"$12,837,580",-2.21%,-30.42%
Dakota County,80.77%,52,"$31,476,955",-0.08%,-16.78%
Dodge County,100.00%,3,"$266,976",-0.25%,-9.90%
Douglas County,40.00%,10,"$4,228,761",4.34%,0.37%
Faribault County,66.67%,6,"$3,143,657",7.33%,-10.79%
Fillmore County,85.71%,14,"$24,988,724",2.95%,-21.71%
Freeborn County,90.91%,11,"$680,131",-10.51%,-18.24%
Goodhue County,72.22%,18,"$20,011,625",5.48%,-8.88%
Grant County,66.67%,3,"$14,046,378",6.40%,-53.94%
Hennepin County,78.15%,563,"$1,225,500,137",0.47%,-21.57%
Houston County,55.56%,9,"$903,214",3.25%,-3.33%
Hubbard County,50.00%,6,"$1,165,587",22.28%,-3.47%
Isanti County,87.50%,8,"$4,916,567",-2.37%,-45.42%
Itasca County,75.00%,24,"$21,950,429",3.20%,-20.56%
Jackson County,100.00%,2,"$107,146",-15.36%,-30.57%
Kanabec County,100.00%,3,"$10,824,090",-1.48%,-81.12%
Kandiyohi County,76.92%,13,"$9,986,941",-1.67%,-9.37%
