Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.11%,380,"$61,132,982",6.31%,-40.91%
$10M or more,78.21%,78,"$1,776,529,658",2.55%,-27.36%
$1M to $4.9M,83.33%,270,"$298,785,580",3.85%,-36.61%
$500K to $999K,85.87%,184,"$71,179,754",3.96%,-36.09%
$5M to $9.9M,72.88%,59,"$189,856,983",1.33%,-34.83%
Less than $100K,67.31%,104,"$6,121,375",18.90%,-31.04%
Total,80.84%,"1,075","$2,403,606,332",4.61%,-36.71%
