Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.97%,37,"$21,914,808",4.07%,-15.03%
Education,92.00%,50,"$425,061,519",1.30%,-81.39%
Environment and animals,86.96%,23,"$66,910,252",4.19%,-29.51%
Health,84.62%,52,"$113,021,839",3.60%,-50.06%
Hospitals,50.00%,2,"$335,773",1.07%,0.95%
Human services,79.09%,110,"$410,033,114",4.07%,-36.09%
"International, foreign affairs",0.00%,1,"$511,744",63.28%,54.57%
Mutual/membership benefit,100.00%,4,"$2,751,199",8.41%,-38.98%
"Public, societal benefit",81.82%,44,"$85,912,251",6.90%,-61.78%
Religion-related,50.00%,2,"$1,445,873",9.84%,-35.98%
Unclassified,77.05%,61,"$176,726,116",5.27%,-35.76%
Universities,100.00%,3,"$12,970,339",0.96%,-36.16%
Total,81.23%,389,"$1,317,594,827",4.03%,-37.52%
