Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",82.58%,155,"$67,900,482",0.49%,-25.56%
Education,80.20%,197,"$959,403,495",3.18%,-25.54%
Environment and animals,65.38%,52,"$20,518,637",9.61%,-13.95%
Health,79.91%,219,"$457,450,047",3.03%,-33.91%
Hospitals,73.33%,15,"$597,081,869",1.69%,-3.56%
Human services,80.37%,708,"$965,510,765",3.04%,-33.94%
"International, foreign affairs",80.00%,10,"$3,263,264",-3.29%,-18.90%
Mutual/membership benefit,100.00%,1,"$68,176",35.93%,-24.49%
"Public, societal benefit",87.82%,156,"$211,710,177",2.66%,-45.36%
Religion-related,60.00%,25,"$12,440,625",10.36%,-12.00%
Unclassified,84.40%,391,"$1,148,269,964",1.79%,-28.07%
Universities,90.00%,10,"$616,386,474",1.21%,-7.08%
Total,81.23%,"1,939","$5,060,003,975",2.67%,-29.65%
