Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.10%,105,"$15,584,343",5.44%,-35.33%
$10M or more,88.89%,9,"$97,340,393",0.33%,-62.00%
$1M to $4.9M,79.22%,77,"$77,189,750",2.62%,-38.05%
$500K to $999K,87.50%,64,"$20,468,035",3.41%,-41.35%
$5M to $9.9M,66.67%,21,"$50,700,630",7.28%,-25.76%
Less than $100K,50.00%,10,"$1,886,462",30.21%,-0.83%
Total,79.02%,286,"$263,169,613",3.64%,-34.67%
